"geneID" "annotation"
"ostta01g00110" " unnamed product"
"ostta01g00170" " unnamed product"
"ostta01g00210" " Ribosomal protein L36"
"ostta01g00220" " unnamed product"
"ostta01g00260" " Tetratricopeptide repeat"
"ostta01g00320" " Acyl-CoA dehydrogenase/oxidase, N-terminal"
"ostta01g00370" " Mitochondrial pyruvate carrier"
"ostta01g00410" " Signal recognition particle, SRP19 subunit"
"ostta01g00420" " Mitochondrial substrate/solute carrier"
"ostta01g00500" " unnamed product"
"ostta01g00580" " Multi antimicrobial extrusion protein"
"ostta01g00600" " unnamed product"
"ostta01g00750" " Molybdenum cofactor biosynthesis, MoeB"
"ostta01g00770" " Transmembrane protein 186"
"ostta01g00840" " unnamed product"
"ostta01g00870" " hypothetical protein n/a  unnamed product"
"ostta01g01040" " DNA methylase, N-6 adenine-specific, eukaryotic"
"ostta01g01090" " Nicotinamide N-methyltransferase-like"
"ostta01g01110" " unnamed product"
"ostta01g01150" " unnamed product"
"ostta01g01240" " Cellulosome enzyme, dockerin type I"
"ostta01g01280" " unnamed product"
"ostta01g01295" " hypothetical protein"
"ostta01g01300" " unnamed product"
"ostta01g01340" " IQ motif, EF-hand binding site"
"ostta01g01370" " Leucine-rich repeat"
"ostta01g01390" " IQ motif, EF-hand binding site"
"ostta01g01470" " Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal"
"ostta01g01490" " Ubiquitin carboxyl-terminal hydrolases family 2"
"ostta01g01520" " unnamed product"
"ostta01g01540" " Single-stranded nucleic acid binding R3H"
"ostta01g01630" " unnamed product"
"ostta01g01680" " Rab-GTPase-TBC domain"
"ostta01g01720" " RNA polymerase, beta subunit, conserved site"
"ostta01g01730" " unnamed product"
"ostta01g01770" " unnamed product"
"ostta01g01870" " unnamed product"
"ostta01g01910" " unnamed product"
"ostta01g01920" " unnamed product"
"ostta01g01940" " SET domain"
"ostta01g02020" " Major facilitator superfamily domain, general substrate transporter"
"ostta01g02030" " unnamed product"
"ostta01g02040" " unnamed product"
"ostta01g02090" " unnamed product"
"ostta01g02160" " WD40 repeat"
"ostta01g02180" " Leucine-rich repeat, typical subtype"
"ostta01g02190" " Cyclase-associated protein CAP/septum formation inhibitor MinC, C-terminal n/a ated protein CAP/septum formation inhibitor MinC, C-terminal"
"ostta01g02240" " 26S proteasome non-ATPase regulatory subunit 5"
"ostta01g02260" " unnamed product"
"ostta01g02280" " unnamed product"
"ostta01g02310" " unnamed product"
"ostta01g02340" " Amino acid transporter, transmembrane"
"ostta01g02360" " DHHA2"
"ostta01g02400" " Ribosomal protein S8"
"ostta01g02590" " Mammalian uncoordinated homology 13, domain 2"
"ostta01g02670" " unnamed product"
"ostta01g02680" " Pre-mRNA splicing factor PRP21-like protein"
