"geneID" "annotation"
"ostta01g00010" " unnamed product"
"ostta01g00120" " Protein of unknown function DUF4336"
"ostta01g00130" " Thioredoxin-like fold"
"ostta01g00140" " HAD hydrolase, subfamily IA"
"ostta01g00150" " Phytanoyl-CoA dioxygenase"
"ostta01g00180" " unnamed product"
"ostta01g00290" " unnamed product"
"ostta01g00330" " unnamed product"
"ostta01g00350" " unnamed product"
"ostta01g00360" " Peptidase M24, methionine aminopeptidase"
"ostta01g00400" " 26S proteasome regulatory subunit, C-terminal"
"ostta01g00530" " Protein of unknown function DUF1764, eukaryotic"
"ostta01g00550" " Rhodanese-like domain"
"ostta01g00560" " Dynein light chain, type 1/2"
"ostta01g00610" " Lipase, GDSL"
"ostta01g00720" " ClpA/B, conserved site 2"
"ostta01g00740" " Zinc/iron permease"
"ostta01g00790" " Fatty acid desaturase, type 1"
"ostta01g00810" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00880" " Ankyrin repeat"
"ostta01g01000" " Tetratricopeptide repeat"
"ostta01g01170" " SAP domain"
"ostta01g01190" " Cytochrome c oxidase assembly protein COX16"
"ostta01g01230" " Prephenate dehydratase, conserved site"
"ostta01g01290" " unnamed product"
"ostta01g01400" " unnamed product"
"ostta01g01410" " Endonuclease/exonuclease/phosphatase"
"ostta01g01420" " Radical SAM"
"ostta01g01430" " Rhodanese-like domain"
"ostta01g01700" " K Homology domain, type 1"
"ostta01g01780" " RmlC-like jelly roll fold"
"ostta01g01790" " Nucleotide-binding, alpha-beta plait"
"ostta01g01820" " Acyl-CoA N-acyltransferase"
"ostta01g01980" " Nitrogen regulatory PII-like, alpha/beta"
"ostta01g02080" " Bacterial PH domain"
"ostta01g02110" " unnamed product"
"ostta01g02120" " TFIIH subunit Tfb4/p34"
"ostta01g02140" " Domain of unknown function DUF814"
"ostta01g02150" " unnamed product"
"ostta01g02170" " Clp protease proteolytic subunit /Translocation-enhancing protein TepA"
"ostta01g02210" " Beta tubulin, autoregulation binding site"
"ostta01g02220" " Short-chain dehydrogenase/reductase SDR"
"ostta01g02250" " DNA-directed RNA polymerase III subunit Rpc5"
"ostta01g02270" " Actin-related protein 3 Arp3"
"ostta01g02300" " RAP domain"
"ostta01g02320" " Ribosomal protein L35"
