"geneID" "annotation"
"ostta01g00020" " 6-phosphofructo-2-kinase"
"ostta01g00050" " Cation/H+ exchanger"
"ostta01g00060" " NUDIX hydrolase domain-like"
"ostta01g00070" " Voltage-dependent potassium channel"
"ostta01g00090" " Ribonucleotide reductase R1 subunit, N-terminal"
"ostta01g00160" " Dymeclin"
"ostta01g00190" " Histidine kinase-like ATPase, ATP-binding domain"
"ostta01g00200" " UBA-like"
"ostta01g00230" " unnamed product"
"ostta01g00270" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta01g00280" " Peptidase M24, methionine aminopeptidase"
"ostta01g00300" " unnamed product"
"ostta01g00310" " Putative S-adenosyl-L-methionine-dependent methyltransferase MidA"
"ostta01g00340" " unnamed product"
"ostta01g00390" " DNA/pantothenate metabolism flavoprotein, C-terminal"
"ostta01g00430" " unnamed product"
"ostta01g00440" " Voltage-dependent potassium channel"
"ostta01g00470" " Nicotinamide N-methyltransferase-like"
"ostta01g00490" " Cyanobacterial aminoacyl-tRNA synthetase, CAAD domain"
"ostta01g00520" " ABC transporter, conserved site"
"ostta01g00540" " Drug/metabolite transporter"
"ostta01g00570" " Anticodon-binding"
"ostta01g00630" " ATPase, AFG1-like"
"ostta01g00640" " unnamed product"
"ostta01g00650" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00660" " unnamed product"
"ostta01g00670" " Thioredoxin-like fold"
"ostta01g00680" " Protein prenyltransferase, alpha subunit"
"ostta01g00690" " Concanavalin A-like lectin/glucanases superfamily"
"ostta01g00730" " HD/PDEase domain"
"ostta01g00760" " C-terminal-processing peptidase S41A"
"ostta01g00780" " Monooxygenase, FAD-binding"
"ostta01g00820" " Nucleolar pre-ribosomal-associated protein 1, N-terminal"
"ostta01g00830" "' ATPase, F0 complex, subunit B/B'', bacterial/chloroplast'"
"ostta01g00860" " Nucleic acid-binding, OB-fold"
"ostta01g00910" " Ribosomal biogenesis, methyltransferase, EMG1/NEP1"
"ostta01g00920" " DNA-directed RNA polymerase, RBP11-like dimerisation domain"
"ostta01g00940" " Glycoside hydrolase, catalytic domain"
"ostta01g00950" " Osteopontin"
"ostta01g00970" " Pseudouridine synthase/archaeosine transglycosylase"
"ostta01g00990" " THO complex subunit 7/Mft1"
"ostta01g01030" " Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III"
"ostta01g01050" " Non-structural maintenance of chromosome element 4, C-terminal"
"ostta01g01060" " unnamed product"
"ostta01g01070" " TRAM/LAG1/CLN8 homology domain"
"ostta01g01100" " unnamed product"
"ostta01g01120" " Protein of unknown function DUF1365"
"ostta01g01130" " Lipase, class 3"
"ostta01g01140" " ARP2/3 complex, 20kDa subunit P20-Arc"
"ostta01g01180" " 3Fe-4S ferredoxin"
"ostta01g01210" " Transcription initiation factor TFIID, 23-30kDa subunit"
"ostta01g01220" " unnamed product"
"ostta01g01250" " unnamed product"
"ostta01g01310" " unnamed product"
"ostta01g01320" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g01350" " unnamed product"
"ostta01g01440" " Nucleotide-diphospho-sugar transferase"
"ostta01g01450" " Aspartate kinase, conserved site"
"ostta01g01550" " K Homology domain, type 1"
"ostta01g01560" " Glyceraldehyde 3-phosphate dehydrogenase, NADP binding domain"
"ostta01g01570" " CRAL/TRIO, N-terminal domain"
"ostta01g01580" " Prefoldin"
"ostta01g01590" " Ornithine/putrescine carbamoyltransferase"
"ostta01g01600" " MIF4-like, type 1/2/3"
"ostta01g01640" " Ovarian tumour, otubain"
"ostta01g01660" " unnamed product"
"ostta01g01670" " Ribonucleoprotein LSM domain, eukaryotic/archaea-type"
"ostta01g01690" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta01g01740" " Uracil-5-methyltransferase"
"ostta01g01750" " tRNA-dihydrouridine synthase, conserved site"
"ostta01g01760" " unnamed product"
"ostta01g01810" " Nicotinamide N-methyltransferase-like"
"ostta01g01830" " Clathrin, heavy chain/VPS, 7-fold repeat"
"ostta01g01860" " 23S rRNA uracil1939-C5-methyltransferase RlmD"
"ostta01g01880" " Chromosome segregation protein Spc25"
"ostta01g01900" " unnamed product"
"ostta01g01950" " Nucleotide-binding, alpha-beta plait"
"ostta01g01960" " unnamed product"
"ostta01g01970" " unnamed product"
"ostta01g01990" " Inosine/uridine-preferring nucleoside hydrolase"
