"geneID" "annotation"
"ostta01g00010" " unnamed product"
"ostta01g00030" " unnamed product"
"ostta01g00220" " unnamed product"
"ostta01g00260" " Tetratricopeptide repeat"
"ostta01g00290" " unnamed product"
"ostta01g00310" " Putative S-adenosyl-L-methionine-dependent methyltransferase MidA"
"ostta01g00530" " Protein of unknown function DUF1764, eukaryotic"
"ostta01g00640" " unnamed product"
"ostta01g00770" " Transmembrane protein 186"
"ostta01g00840" " unnamed product"
"ostta01g00870" " hypothetical protein n/a  unnamed product"
"ostta01g00910" " Ribosomal biogenesis, methyltransferase, EMG1/NEP1"
"ostta01g00920" " DNA-directed RNA polymerase, RBP11-like dimerisation domain"
"ostta01g00960" " unnamed product"
"ostta01g01140" " ARP2/3 complex, 20kDa subunit P20-Arc"
"ostta01g01170" " SAP domain"
"ostta01g01190" " Cytochrome c oxidase assembly protein COX16"
"ostta01g01280" " unnamed product"
"ostta01g01295" " hypothetical protein"
"ostta01g01390" " IQ motif, EF-hand binding site"
"ostta01g01550" " K Homology domain, type 1"
"ostta01g01560" " Glyceraldehyde 3-phosphate dehydrogenase, NADP binding domain"
"ostta01g01620" " unnamed product"
"ostta01g01660" " unnamed product"
"ostta01g01730" " unnamed product"
"ostta01g01800" " Sec-independent protein translocase protein TatA/E"
"ostta01g01880" " Chromosome segregation protein Spc25"
"ostta01g01900" " unnamed product"
"ostta01g01910" " unnamed product"
"ostta01g02030" " unnamed product"
"ostta01g02050" " Endoplasmic reticulum vesicle transporter, C-terminal"
"ostta01g02130" " HNH endonuclease"
"ostta01g02210" " Beta tubulin, autoregulation binding site"
"ostta01g02240" " 26S proteasome non-ATPase regulatory subunit 5"
"ostta01g02340" " Amino acid transporter, transmembrane"
"ostta01g02590" " Mammalian uncoordinated homology 13, domain 2"
"ostta01g02660" " unnamed product"
"ostta01g02680" " Pre-mRNA splicing factor PRP21-like protein"
"ostta01g02690" " Tetratricopeptide repeat"
"ostta01g02740" " ISC system FeS cluster assembly, IscU scaffold"
"ostta01g02810" " CS domain"
"ostta01g03360" " Thioredoxin-like fold"
"ostta01g03430" " Flavinator of succinate dehydrogenase"
"ostta01g03510" " unnamed product"
"ostta01g03550" " unnamed product"
"ostta01g03590" " unnamed product"
"ostta01g03600" " Glutamine amidotransferase"
"ostta01g03700" " unnamed product"
"ostta01g03750" " HSP20-like chaperone"
"ostta01g03910" " EF-Hand 1, calcium-binding site"
