"geneID" "annotation"
"ostta01g00030" " unnamed product"
"ostta01g00110" " unnamed product"
"ostta01g00500" " unnamed product"
"ostta01g00890" " Cation-transporting P-type ATPase, C-terminal"
"ostta01g01040" " DNA methylase, N-6 adenine-specific, eukaryotic"
"ostta01g01350" " unnamed product"
"ostta01g01460" " Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain"
"ostta01g01480" " Zinc finger, RING/FYVE/PHD-type"
"ostta01g01610" " unnamed product"
"ostta01g01650" " Major facilitator superfamily domain, general substrate transporter"
"ostta01g01710" " unnamed product"
"ostta01g01940" " SET domain"
"ostta01g02010" " Protein phosphatase 2C"
"ostta01g02020" " Major facilitator superfamily domain, general substrate transporter"
"ostta01g02310" " unnamed product"
"ostta01g02640" " Class II glutamine amidotransferase domain"
"ostta01g02740" " ISC system FeS cluster assembly, IscU scaffold"
"ostta01g02750" " Lipase, class 3"
"ostta01g02990" " Ubiquitin carboxyl-terminal hydrolases family 2"
"ostta01g03010" " unnamed product"
"ostta01g03180" " YjeF N-terminal domain"
"ostta01g03410" " UBA/THIF-type NAD/FAD binding fold"
"ostta01g03500" " Mitochondrial substrate/solute carrier"
"ostta01g03870" " Domain of unknown function SprT-like"
"ostta01g03920" " unnamed product"
"ostta01g04040" " unnamed product"
"ostta01g04320" " Tubulin/FtsZ, 2-layer sandwich domain"
"ostta01g04420" " unnamed product"
"ostta01g04450" " Vacuolar protein sorting-associated, VPS28"
"ostta01g04510" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g04690" " unnamed product"
"ostta01g04770" " Zinc finger, LSD1-type"
"ostta01g04800" " unnamed product"
"ostta01g04910" " Alpha-mannosyltransferase"
"ostta01g05160" " Transcription factor, MADS-box"
"ostta01g05190" " Splicing factor motif"
"ostta01g05300" " Phytanoyl-CoA dioxygenase"
"ostta01g05590" " Na+/H+ exchanger, isoforms 7/8"
"ostta01g05600" " Exportin/Importin, Cse1-like"
"ostta01g05640" " Tetratricopeptide repeat"
"ostta01g05870" " N-terminal acetyltransferase A, auxiliary subunit"
"ostta01g06050" " SANT/Myb domain"
"ostta01g06380" " Regulator of chromosome condensation, RCC1"
"ostta01g06410" " unnamed product"
"ostta01g06470" " Cryptochrome/DNA photolyase, class 1"
"ostta02g00020" " Peptidase C48, SUMO/Sentrin/Ubl1"
"ostta02g00050" " Ribonuclease H-like domain"
