"geneID" "annotation"
"ostta01g00070" " Voltage-dependent potassium channel"
"ostta01g00090" " Ribonucleotide reductase R1 subunit, N-terminal"
"ostta01g00160" " Dymeclin"
"ostta01g00230" " unnamed product"
"ostta01g00340" " unnamed product"
"ostta01g00440" " Voltage-dependent potassium channel"
"ostta01g00470" " Nicotinamide N-methyltransferase-like"
"ostta01g00630" " ATPase, AFG1-like"
"ostta01g00640" " unnamed product"
"ostta01g00670" " Thioredoxin-like fold"
"ostta01g00680" " Protein prenyltransferase, alpha subunit"
"ostta01g00910" " Ribosomal biogenesis, methyltransferase, EMG1/NEP1"
"ostta01g00920" " DNA-directed RNA polymerase, RBP11-like dimerisation domain"
"ostta01g00940" " Glycoside hydrolase, catalytic domain"
"ostta01g01050" " Non-structural maintenance of chromosome element 4, C-terminal"
"ostta01g01070" " TRAM/LAG1/CLN8 homology domain"
"ostta01g01100" " unnamed product"
"ostta01g01250" " unnamed product"
"ostta01g01320" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g01350" " unnamed product"
"ostta01g01570" " CRAL/TRIO, N-terminal domain"
"ostta01g01660" " unnamed product"
"ostta01g01690" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta01g01830" " Clathrin, heavy chain/VPS, 7-fold repeat"
"ostta01g01880" " Chromosome segregation protein Spc25"
"ostta01g01900" " unnamed product"
"ostta01g01970" " unnamed product"
"ostta01g01990" " Inosine/uridine-preferring nucleoside hydrolase"
"ostta01g02100" " Nucleotide-binding, alpha-beta plait"
"ostta01g02450" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g02480" " Aspartate-semialdehyde dehydrogenase"
"ostta01g02490" " G-protein beta WD-40 repeat"
"ostta01g02500" " Ribonuclease III domain"
"ostta01g02530" " Protein of unknown function DUF812"
"ostta01g02570" " Protein of unknown function DUF2419"
"ostta01g02615" " Mitochondrial import protein TIM15"
"ostta01g02780" " Armadillo-type fold"
"ostta01g02847" " Glutathione S-transferase, N-terminal"
"ostta01g02870" " Short-chain dehydrogenase/reductase SDR"
"ostta01g02910" " Ubinuclein/Yemanuclein"
"ostta01g03050" " Alpha-1,6-glucosidases, pullulanase-type, C-terminal"
"ostta01g03060" " Dienelactone hydrolase"
"ostta01g03130" " Zinc finger, RING/FYVE/PHD-type"
"ostta01g03200" " Six-bladed beta-propeller, TolB-like"
"ostta01g03220" " Domain of unknown function DUF59"
"ostta01g03270" " JmjC domain"
"ostta01g03340" " PCI/PINT associated module"
"ostta01g03490" " Transcription elongation factor S-II, central domain"
"ostta01g03495" " Mitochondrial substrate/solute carrier"
"ostta01g03600" " Glutamine amidotransferase"
"ostta01g03680" " DHBP synthase RibB-like alpha/beta domain"
"ostta01g03720" " DNA cytosine-5-methyltransferase 1, replication foci domain"
"ostta01g03850" " unnamed product"
"ostta01g03870" " Domain of unknown function SprT-like"
"ostta01g03890" " Histone core"
"ostta01g03940" " Prefoldin"
"ostta01g04060" " PHF5-like"
"ostta01g04130" " Homeodomain-like"
"ostta01g04140" " Cyanobacterial aminoacyl-tRNA synthetase, CAAD domain"
"ostta01g04240" " unnamed product"
"ostta01g04410" " Ribosomal protein L21"
"ostta01g04510" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g04700" " ENTH/VHS"
"ostta01g04800" " unnamed product"
"ostta01g04810" " Protein of unknown function DUF4079"
"ostta01g04860" " Monothiol glutaredoxin-related"
"ostta01g04930" " CHCH"
"ostta01g05090" " Diacylglycerol kinase, catalytic domain"
"ostta01g05100" " unnamed product"
"ostta01g05190" " Splicing factor motif"
"ostta01g05290" " Glycoside hydrolase-type carbohydrate-binding, subgroup"
"ostta01g05380" " Short-chain dehydrogenase/reductase SDR"
"ostta01g05420" " WD40 repeat"
"ostta01g05560" " Pyruvate dehydrogenase acetyl-transferring E1 component, alpha subunit, subgrou"
"ostta01g05570" " Uncharacterised protein family UPF0016"
"ostta01g05820" " Micro-fibrillar-associated protein 1, C-terminal"
"ostta01g05850" " HAD hydrolase, subfamily IA"
"ostta01g05910" " Short-chain dehydrogenase/reductase SDR"
"ostta01g05920" " Thymidylate synthase"
"ostta01g05950" " NADP-binding domain"
"ostta01g06110" " Domain of unknown function DUF221"
"ostta01g06150" " Cyclin A/B/D/E"
"ostta01g06220" " Nuclear pore protein 84/107"
"ostta01g06230" " unnamed product"
"ostta01g06340" " Histone H4"
"ostta01g06350" " Histone H4"
"ostta01g06410" " unnamed product"
"ostta01g06540" " EF-Hand 1, calcium-binding site"
"ostta01g06620" " Small GTPase superfamily, ARF/SAR type"
"ostta01g06670" " Insulin-induced protein family"
"ostta02g00037" " Harbinger transposase-derived protein, plant"
"ostta02g00040" " Glycosyltransferase AER61, uncharacterised"
"ostta02g00100" " Histone core"
"ostta02g00230" " unnamed product"
"ostta02g00277" " Harbinger transposase-derived nuclease"
"ostta02g00530" " unnamed product"
"ostta02g00580" " Photosystem I PsaL, reaction centre subunit XI"
"ostta02g00640" " Pseudouridine synthase/archaeosine transglycosylase"
"ostta02g00810" " IMP dehydrogenase / GMP reductase, conserved site"
"ostta02g00900" " Glutamyl-tRNAGln amidotransferase A subunit n/a  Glutamyl-tRNAGln amidotransfer"
"ostta02g01190" " Glutamate--cysteine ligase, plant"
"ostta02g01240" " Glutathione S-transferase, N-terminal"
"ostta02g01270" " Clp protease proteolytic subunit /Translocation-enhancing protein TepA"
"ostta02g01810" " Choline/Ethanolamine kinase"
"ostta02g01870" " Bromo adjacent homology BAH domain"
"ostta02g01880" " Ankyrin repeat-containing domain"
"ostta02g02065" " hypothetical protein"
"ostta02g02140" " Zinc finger, PHD-finger"
"ostta02g02180" " unnamed product"
"ostta02g02470" " Pre-mRNA polyadenylation factor Fip1"
"ostta02g02560" " Photosystem II PsbX"
"ostta02g02760" " RAI1-like"
"ostta02g02770" " unnamed product"
"ostta02g02780" " Beta-lactamase-like"
"ostta02g02850" " Major facilitator superfamily domain, general substrate transporter"
"ostta02g02880" " unnamed product"
"ostta02g02910" " Serine/threonine-protein kinase, active site"
"ostta02g02930" " Zinc finger, CCCH-type"
"ostta02g02970" " unnamed product"
"ostta02g02980" " unnamed product"
"ostta02g03090" " Domain of unknown function DUF547"
"ostta02g03150" " DNA methylase, N-6 adenine-specific, conserved site"
"ostta02g03180" " Polyribonucleotide nucleotidyltransferase"
"ostta02g03230" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta02g03270" " unnamed product"
"ostta02g03320" " unnamed product"
"ostta02g03470" " Anaphase-promoting complex subunit 4 long domain"
"ostta02g03530" " unnamed product"
"ostta02g03540" " DNA-binding TFAR19-related protein"
"ostta02g03610" " Condensin complex, subunit 1, N-terminal"
"ostta02g03760" " Maf-like protein"
"ostta02g03770" " SNF2-related"
"ostta02g03780" " Serine/threonine-protein kinase, active site"
"ostta02g03810" " Nucleic acid-binding, OB-fold"
"ostta02g03830" " Peptidase M20, dimerisation domain"
"ostta02g03880" " P-loop containing nucleoside triphosphate hydrolase"
"ostta02g04090" " Helicase, C-terminal"
"ostta02g04110" " unnamed product"
"ostta02g04200" " Polyketide synthase/Fatty acid synthase, KR"
"ostta02g04220" " Ankyrin repeat-containing domain"
"ostta02g04340" " Short-chain dehydrogenase/reductase SDR"
"ostta02g04430" " Tetratricopeptide-like helical"
"ostta02g04480" " unnamed product"
"ostta02g04500" " Mitochondrial substrate/solute carrier"
"ostta02g04510" " unnamed product"
"ostta02g04570" " Glycoside hydrolase, catalytic domain"
"ostta02g04710" " Peroxisome biogenesis factor 1, N-terminal"
"ostta02g04780" " unnamed product"
"ostta02g04790" " Metridin-like ShK toxin"
"ostta02g04880" " Chloroplast envelope membrane protein, CemA"
"ostta02g04910" " Peroxisome assembly protein 12"
"ostta02g04950" " Transcription factor IIS, N-terminal"
"ostta02g05100" " Uracil-5-methyltransferase n/a  Uracil-5-methyltransferase"
"ostta02g05105" " hypothetical protein"
"ostta02g05115" " Zinc finger, DPH-type"
"ostta02g05150" " unnamed product"
"ostta02g05190" " SANT/Myb domain"
"ostta02g05200" " Peptide deformylase"
"ostta02g05230" " RmlC-like jelly roll fold"
"ostta02g05270" " Protein of unknown function DUF1517"
"ostta02g05310" " unnamed product"
"ostta02g05350" " Phosphatidylinositol-4-phosphate 5-kinase, core"
"ostta02g05450" "' 5''-Nucleotidase/apyrase'"
"ostta03g00050" " unnamed product"
"ostta03g00070" " Ubiquitin-like domain"
"ostta03g00080" " unnamed product"
"ostta03g00160" " NADP-dependent oxidoreductase domain"
"ostta03g00180" " Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal"
"ostta03g00220" " Ribulose-phosphate binding barrel"
"ostta03g00270" " Armadillo-type fold"
"ostta03g00320" " P-loop containing nucleoside triphosphate hydrolase"
"ostta03g00360" " Nucleic acid-binding, OB-fold"
"ostta03g00370" " Endoplasmic reticulum, stress-associated Ramp4"
"ostta03g00460" " Janus/Ocnus"
