"geneID" "annotation"
"ostta01g00010" " unnamed product"
"ostta01g00060" " NUDIX hydrolase domain-like"
"ostta01g00070" " Voltage-dependent potassium channel"
"ostta01g00120" " Protein of unknown function DUF4336"
"ostta01g00130" " Thioredoxin-like fold"
"ostta01g00140" " HAD hydrolase, subfamily IA"
"ostta01g00150" " Phytanoyl-CoA dioxygenase"
"ostta01g00180" " unnamed product"
"ostta01g00270" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta01g00330" " unnamed product"
"ostta01g00340" " unnamed product"
"ostta01g00350" " unnamed product"
"ostta01g00360" " Peptidase M24, methionine aminopeptidase"
"ostta01g00390" " DNA/pantothenate metabolism flavoprotein, C-terminal"
"ostta01g00400" " 26S proteasome regulatory subunit, C-terminal"
"ostta01g00530" " Protein of unknown function DUF1764, eukaryotic"
"ostta01g00550" " Rhodanese-like domain"
"ostta01g00560" " Dynein light chain, type 1/2"
"ostta01g00570" " Anticodon-binding"
"ostta01g00610" " Lipase, GDSL"
"ostta01g00720" " ClpA/B, conserved site 2"
"ostta01g00760" " C-terminal-processing peptidase S41A"
"ostta01g00780" " Monooxygenase, FAD-binding"
"ostta01g00790" " Fatty acid desaturase, type 1"
"ostta01g00810" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00830" "' ATPase, F0 complex, subunit B/B'', bacterial/chloroplast'"
"ostta01g00860" " Nucleic acid-binding, OB-fold"
"ostta01g00880" " Ankyrin repeat"
"ostta01g01000" " Tetratricopeptide repeat"
"ostta01g01140" " ARP2/3 complex, 20kDa subunit P20-Arc"
"ostta01g01170" " SAP domain"
"ostta01g01220" " unnamed product"
"ostta01g01230" " Prephenate dehydratase, conserved site"
"ostta01g01290" " unnamed product"
"ostta01g01400" " unnamed product"
"ostta01g01410" " Endonuclease/exonuclease/phosphatase"
"ostta01g01420" " Radical SAM"
"ostta01g01430" " Rhodanese-like domain"
"ostta01g01560" " Glyceraldehyde 3-phosphate dehydrogenase, NADP binding domain"
"ostta01g01570" " CRAL/TRIO, N-terminal domain"
"ostta01g01580" " Prefoldin"
"ostta01g01700" " K Homology domain, type 1"
"ostta01g01810" " Nicotinamide N-methyltransferase-like"
"ostta01g01820" " Acyl-CoA N-acyltransferase"
"ostta01g01860" " 23S rRNA uracil1939-C5-methyltransferase RlmD"
"ostta01g01900" " unnamed product"
"ostta01g01950" " Nucleotide-binding, alpha-beta plait"
"ostta01g01960" " unnamed product"
"ostta01g01980" " Nitrogen regulatory PII-like, alpha/beta"
"ostta01g02080" " Bacterial PH domain"
"ostta01g02100" " Nucleotide-binding, alpha-beta plait"
"ostta01g02110" " unnamed product"
"ostta01g02130" " HNH endonuclease"
"ostta01g02140" " Domain of unknown function DUF814"
"ostta01g02150" " unnamed product"
"ostta01g02170" " Clp protease proteolytic subunit /Translocation-enhancing protein TepA"
"ostta01g02210" " Beta tubulin, autoregulation binding site"
"ostta01g02220" " Short-chain dehydrogenase/reductase SDR"
"ostta01g02250" " DNA-directed RNA polymerase III subunit Rpc5"
"ostta01g02270" " Actin-related protein 3 Arp3"
"ostta01g02300" " RAP domain"
"ostta01g02390" " Porphobilinogen synthase"
"ostta01g02430" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g02450" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g02460" " Protein phosphatase 2C PP2C-like domain"
"ostta01g02470" " Mitochondrial substrate/solute carrier"
"ostta01g02500" " Ribonuclease III domain"
"ostta01g02520" " Beta-lactamase-like"
"ostta01g02530" " Protein of unknown function DUF812"
"ostta01g02617" " hypothetical protein"
"ostta01g02710" " Thioredoxin-like fold"
"ostta01g02840" " Glutathione S-transferase, N-terminal"
"ostta01g02895" " tRNA/rRNA methyltransferase, SpoU"
"ostta01g02910" " Ubinuclein/Yemanuclein"
"ostta01g02960" " Peptidyl-tRNA hydrolase"
"ostta01g02980" " Uncharacterised protein family UPF0434/Trm112"
"ostta01g03000" " tRNA-guanine15 transglycosylase-like"
"ostta01g03040" " Fructose-bisphosphate aldolase, class-I"
"ostta01g03060" " Dienelactone hydrolase"
"ostta01g03080" " unnamed product"
"ostta01g03090" " Alpha-ketoglutarate-dependent dioxygenase AlkB-like"
"ostta01g03100" " Helicase, C-terminal"
"ostta01g03130" " Zinc finger, RING/FYVE/PHD-type"
"ostta01g03190" " Translation elongation factor, IF5A C-terminal"
"ostta01g03210" " Nuclear transport factor 2, Eukaryote"
"ostta01g03220" " Domain of unknown function DUF59"
"ostta01g03240" " unnamed product"
"ostta01g03250" " EF-Hand 1, calcium-binding site"
"ostta01g03270" " JmjC domain"
"ostta01g03280" " Rudiment single hybrid motif"
"ostta01g03300" " Rieske [2Fe-2S] iron-sulphur domain"
"ostta01g03320" " Nonaspanin TM9SF"
"ostta01g03330" " Metridin-like ShK toxin"
"ostta01g03370" " Conserved hypothetical protein CHP01589, plant"
"ostta01g03380" " RNA polymerase III Rpc4"
"ostta01g03390" " Uroporphyrinogen decarboxylase URO-D"
"ostta01g03450" " Rhodanese-like domain"
"ostta01g03480" " G-patch domain"
"ostta01g03500" " Mitochondrial substrate/solute carrier"
"ostta01g03800" " CAP Gly-rich domain"
"ostta01g03810" " Glycerol-3-phosphate dehydrogenase, NAD-dependent"
"ostta01g03890" " Histone core"
"ostta01g03910" " EF-Hand 1, calcium-binding site"
"ostta01g03920" " unnamed product"
"ostta01g03940" " Prefoldin"
"ostta01g03950" " Mitochodrial transcription termination factor-related"
"ostta01g03960" " unnamed product"
"ostta01g04010" " Uracil-5-methyltransferase"
"ostta01g04060" " PHF5-like"
"ostta01g04070" " WD40/YVTN repeat-like-containing domain"
"ostta01g04140" " Cyanobacterial aminoacyl-tRNA synthetase, CAAD domain"
"ostta01g04150" " Aminoacyl-tRNA synthetase, class I, anticodon-binding domain, subdomain 2"
"ostta01g04230" " Aldehyde dehydrogenase, C-terminal"
"ostta01g04380" " unnamed product"
"ostta01g04410" " Ribosomal protein L21"
"ostta01g04430" " von Hippel-Lindau disease tumour suppressor, beta/alpha domain"
"ostta01g04480" " Carotenoid oxygenase"
"ostta01g04570" " Oxoglutarate/iron-dependent dioxygenase"
"ostta01g04580" " Amino acid transporter, transmembrane"
"ostta01g04610" " Chromatin assembly factor 1 subunit A"
"ostta01g04630" " DNA-binding domain"
"ostta01g04700" " ENTH/VHS"
"ostta01g04710" " JmjC domain"
"ostta01g04760" " unnamed product"
"ostta01g04810" " Protein of unknown function DUF4079"
"ostta01g04840" " Nucleotide-binding, alpha-beta plait"
"ostta01g04880" " Small nuclear RNA activating complex SNAPc, subunit SNAP43"
"ostta01g04930" " CHCH"
"ostta01g04940" " Chlorophyll A-B binding protein, plant"
"ostta01g04980" " Helicase, C-terminal"
"ostta01g05005" " Proteasome A-type subunit"
"ostta01g05010" " DNA/RNA non-specific endonuclease, active site"
"ostta01g05050" " unnamed product"
"ostta01g05100" " unnamed product"
"ostta01g05110" " Pentatricopeptide repeat"
"ostta01g05155" " Pyruvate/Phosphoenolpyruvate kinase-like domain"
"ostta01g05170" " Transcription factor IIS, N-terminal"
"ostta01g05180" " Pentatricopeptide repeat"
"ostta01g05200" " Primosome PriB/single-strand DNA-binding"
"ostta01g05210" " Tetratricopeptide repeat"
"ostta01g05220" " unnamed product"
"ostta01g05230" " G-protein beta WD-40 repeat"
"ostta01g05250" " Peroxisomal membrane protein 14"
"ostta01g05260" " 2-isopropylmalate synthase, bacterial-type"
"ostta01g05290" " Glycoside hydrolase-type carbohydrate-binding, subgroup"
"ostta01g05320" " Proteasome B-type subunit"
"ostta01g05330" " Protein of unknown function DUF1674"
"ostta01g05340" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g05350" " unnamed product"
"ostta01g05360" " Ribosomal protein S6"
"ostta01g05420" " WD40 repeat"
"ostta01g05450" " Protein of unknown function DUF284, transmembrane eukaryotic"
"ostta01g05470" " WD40/YVTN repeat-like-containing domain"
"ostta01g05500" " unnamed product"
"ostta01g05550" " Cytochrome P450, conserved site"
"ostta01g05560" " Pyruvate dehydrogenase acetyl-transferring E1 component, alpha subunit, subgrou"
"ostta01g05570" " Uncharacterised protein family UPF0016"
"ostta01g05620" " Pyridoxal phosphate-dependent transferase, major region, subdomain 1"
"ostta01g05660" " Nucleotide-binding, alpha-beta plait"
"ostta01g05670" " Transcription termination and cleavage factor C-terminal domain"
"ostta01g05690" " Magnesium chelatase, ATPase subunit I"
"ostta01g05700" " Histidinol dehydrogenase"
"ostta01g05730" " Complex 1 LYR protein"
"ostta01g05740" " unnamed product"
"ostta01g05880" " Snf7"
"ostta01g05920" " Thymidylate synthase"
"ostta01g05990" " Phytoene desaturase CrtI family"
"ostta01g06000" " Ribosomal protein L17"
"ostta01g06010" " BRCT domain"
"ostta01g06060" " unnamed product"
"ostta01g06080" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g06090" " Nicotinamide N-methyltransferase-like"
"ostta01g06120" " RNA polymerase, beta subunit, conserved site"
"ostta01g06140" " AMP-dependent synthetase/ligase"
"ostta01g06200" " unnamed product"
"ostta01g06220" " Nuclear pore protein 84/107"
"ostta01g06240" " Ankyrin repeat"
"ostta01g06280" " unnamed product"
"ostta01g06290" " Riboflavin kinase domain, bacterial/eukaryotic"
"ostta01g06310" " Signal transduction response regulator, receiver domain"
"ostta01g06330" " RecF/RecN/SMC, N-terminal"
"ostta01g06390" " Methylglyoxal synthase-like domain"
"ostta01g06420" " WD40 repeat"
"ostta01g06430" " Crotonase superfamily"
"ostta01g06510" " Uncharacterised protein family UPF0246"
"ostta01g06580" " Phospholipase D-like domain"
"ostta02g00100" " Histone core"
"ostta02g00195" " Ribonuclease H-like domain n/a  Ribonuclease H-like domain"
"ostta02g00250" " Ribosomal protein L24e, conserved site"
"ostta02g00380" " Clp protease proteolytic subunit /Translocation-enhancing protein TepA n/a  Clpolytic subunit /Translocation-enhancing protein TepA"
"ostta02g00410" " WD40 repeat"
"ostta02g00520" " Acyl-CoA N-acyltransferase"
"ostta02g00530" " unnamed product"
"ostta02g00600" " RNA polymerase III subunit RPC82-related, helix-turn-helix"
"ostta02g00730" " Thioredoxin-like fold"
"ostta02g00810" " IMP dehydrogenase / GMP reductase, conserved site"
"ostta02g00850" " unnamed product"
"ostta02g01050" " XPG/Rad2 endonuclease"
"ostta02g01120" " Mak16 protein"
"ostta02g01180" " Endonuclease/exonuclease/phosphatase"
"ostta02g01210" " Ribosomal protein L7Ae conserved site"
