"geneID" "annotation"
"ostta01g00130" " Thioredoxin-like fold"
"ostta01g00140" " HAD hydrolase, subfamily IA"
"ostta01g00330" " unnamed product"
"ostta01g00660" " unnamed product"
"ostta01g00670" " Thioredoxin-like fold"
"ostta01g00930" " Chloramphenicol acetyltransferase-like domain"
"ostta01g01560" " Glyceraldehyde 3-phosphate dehydrogenase, NADP binding domain"
"ostta01g01800" " Sec-independent protein translocase protein TatA/E"
"ostta01g01930" " unnamed product"
"ostta01g01980" " Nitrogen regulatory PII-like, alpha/beta"
"ostta01g02150" " unnamed product"
"ostta01g02390" " Porphobilinogen synthase"
"ostta01g02460" " Protein phosphatase 2C PP2C-like domain"
"ostta01g02820" " unnamed product"
"ostta01g02860" " Domain of unknown function DUF3825"
"ostta01g03040" " Fructose-bisphosphate aldolase, class-I"
"ostta01g03170" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta01g03390" " Uroporphyrinogen decarboxylase URO-D"
"ostta01g03400" " unnamed product"
"ostta01g03490" " Transcription elongation factor S-II, central domain"
"ostta01g03620" " Class II glutamine amidotransferase domain"
"ostta01g04480" " Carotenoid oxygenase"
"ostta01g04585" " hypothetical protein"
"ostta01g04630" " DNA-binding domain"
"ostta01g04670" " unnamed product"
"ostta01g04780" " unnamed product"
"ostta01g04870" " Acyl-CoA N-acyltransferase"
"ostta01g04940" " Chlorophyll A-B binding protein, plant"
"ostta01g05290" " Glycoside hydrolase-type carbohydrate-binding, subgroup"
"ostta01g05690" " Magnesium chelatase, ATPase subunit I"
"ostta01g06230" " unnamed product"
"ostta01g06400" " Gemin6"
"ostta01g06580" " Phospholipase D-like domain"
"ostta01g06610" " Rieske iron-sulphur protein"
"ostta02g00530" " unnamed product"
"ostta02g00580" " Photosystem I PsaL, reaction centre subunit XI"
"ostta02g00730" " Thioredoxin-like fold"
"ostta02g00870" " Oxoglutarate/iron-dependent dioxygenase"
"ostta02g01520" " Tubulin/FtsZ, 2-layer sandwich domain"
"ostta02g01640" " Ankyrin repeat"
"ostta02g01840" " Beta-ketoacyl synthase, active site"
"ostta02g02060" " Galactosyl transferase"
"ostta02g02067" " DDE superfamily endonuclease, CENP-B-like"
"ostta02g02320" " Photosystem II PsbW, class 2"
"ostta02g02380" " Magnesium chelatase, ATPase subunit I"
"ostta02g02470" " Pre-mRNA polyadenylation factor Fip1"
"ostta02g02510" " Pyridine nucleotide-disulphide oxidoreductase, FAD/NADP-binding domain"
"ostta02g02560" " Photosystem II PsbX"
"ostta02g03330" " Chlorophyll A-B binding protein, plant"
"ostta02g03360" " Glycoside hydrolase, catalytic domain"
"ostta02g03860" " Photosystem I PsaE, reaction centre subunit IV"
"ostta02g04330" " Magnesium-dependent phosphatase-1, eukaryotic/arcaheal type"
"ostta02g04750" " unnamed product"
"ostta02g04800" " Chlorophyll A-B binding protein, plant"
"ostta02g05160" " Fumarylacetoacetase, C-terminal"
"ostta02g05170" " Protein of unknown function DUF3464"
"ostta02g05210" " ENTH/VHS"
"ostta02g05340" " unnamed product"
"ostta02g05350" " Phosphatidylinositol-4-phosphate 5-kinase, core"
"ostta02g05410" " unnamed product"
"ostta03g00140" " Oxysterol-binding protein"
"ostta03g00350" " Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase"
"ostta03g01100" " Zinc finger, GATA-type"
"ostta03g01270" " Rhodanese-like domain"
"ostta03g01310" " unnamed product"
"ostta03g01330" " unnamed product"
"ostta03g01340" " unnamed product"
"ostta03g01430" " unnamed product"
"ostta03g01440" " Plastid lipid-associated protein/fibrillin conserved domain"
"ostta03g01870" " Domain of unknown function DUF1995"
"ostta03g01980" " unnamed product"
"ostta03g02040" " unnamed product"
"ostta03g02090" " Major royal jelly-related"
"ostta03g02130" " Phosphatidic acid phosphatase type 2/haloperoxidase"
"ostta03g02310" " DNA/RNA-binding protein Alba-like"
"ostta03g02510" " Ubiquitin-conjugating enzyme/RWD-like"
"ostta03g03150" "' 3''5''-cyclic nucleotide phosphodiesterase, conserved site'"
"ostta03g03160" " Coproporphyrinogen III oxidase, conserved site"
"ostta03g03540" " unnamed product"
"ostta03g03600" " DEK, C-terminal"
"ostta03g03640" " Zinc finger, DHHC-type, palmitoyltransferase"
"ostta03g03650" " Tetratricopeptide repeat"
"ostta03g03720" " unnamed product"
"ostta03g03840" " unnamed product"
"ostta03g03920" " unnamed product"
"ostta03g04540" " Chlorophyll A-B binding protein, plant"
"ostta03g04550" " Chlorophyll A-B binding protein, plant"
"ostta03g04760" " TLDc"
"ostta03g04870" " GOLD"
"ostta03g04920" " Chlorophyll A-B binding protein, plant"
"ostta03g05270" " unnamed product"
"ostta03g05540" " Armadillo-type fold"
"ostta03g05590" " CDP-alcohol phosphatidyltransferase"
"ostta04g00030" " Nucleotide-binding, alpha-beta plait"
"ostta04g00130" " PDZ domain"
"ostta04g00330" " K Homology domain, type 1"
"ostta04g00350" " IQ motif, EF-hand binding site"
"ostta04g00360" " unnamed product"
"ostta04g00370" " Ankyrin repeat"
"ostta04g00590" " Surfeit locus 1/Shy1"
"ostta04g00860" " Glucose-6-phosphate 1-epimerase"
"ostta04g01140" " Nucleoside phosphatase GDA1/CD39"
"ostta04g01630" " unnamed product"
"ostta04g01640" " unnamed product"
"ostta04g01790" " Photosystem I PsaF, reaction centre subunit III"
"ostta04g01820" " Chlorophyll a/b binding protein domain"
"ostta04g01970" " Alpha-ketoglutarate-dependent dioxygenase AlkB-like"
"ostta04g02000" " Peptidase M20, dimerisation domain"
"ostta04g02080" " Squalene/phytoene synthase"
"ostta04g02090" " Magnesium chelatase, subunit H, N-terminal"
"ostta04g02330" " unnamed product"
"ostta04g02580" " Cytochrome c, class IA/ IB"
"ostta04g02740" " P-loop containing nucleoside triphosphate hydrolase"
"ostta04g02980" " CAAX amino terminal protease"
"ostta04g03080" " Thioredoxin, conserved site"
"ostta04g03550" " Malic enzyme, NAD-binding"
"ostta04g03570" " unnamed product"
"ostta04g04150" " PetM of cytochrome b6/f complex subunit 7"
"ostta04g04580" " WD40/YVTN repeat-like-containing domain"
"ostta04g04590" " Peptidase M12B, ADAM/reprolysin"
"ostta04g04690" " Cycloeucalenol cycloisomerase"
"ostta04g04770" " Myb domain, plants"
"ostta04g05020" " unnamed product"
"ostta05g00230" " unnamed product"
"ostta05g00320" " unnamed product"
"ostta05g00420" " Transcription factor IIIC, subunit 5"
"ostta05g00800" " Photosystem I PsaG/PsaK protein"
"ostta05g00920" " Folate-sensitive fragile site protein Fra10Ac1"
"ostta05g00940" " Thioredoxin, conserved site"
"ostta05g01140" " Membrane insertase YidC/Oxa1, C-terminal"
"ostta05g01160" " unnamed product"
"ostta05g01230" " Porphobilinogen deaminase, C-terminal"
"ostta05g01910" " GYF"
"ostta05g02110" " Tetratricopeptide-like helical"
"ostta05g02150" " Protein of unknown function DUF2358"
"ostta05g02620" " Ubiquitin-conjugating enzyme, active site"
"ostta05g02650" " Thioredoxin-like fold"
"ostta05g02740" " Threonine dehydratase, catabolic"
"ostta05g02780" " unnamed product"
"ostta05g02850" " unnamed product"
"ostta05g03220" " Maf1 regulator"
"ostta05g03290" " HCaRG"
"ostta05g03405" " Ovarian tumour, otubain"
"ostta05g03520" " Peptidyl-prolyl cis-trans isomerase, PpiC-type, conserved site"
"ostta05g03830" " Chlorophyll A-B binding protein, plant"
"ostta05g03960" " Armadillo-type fold"
"ostta05g04130" " Ribose 5-phosphate isomerase, type A"
"ostta05g04530" " Uncharacterised protein family Ycf54"
"ostta05g04560" " Photosystem II PsbR"
"ostta05g04860" " unnamed product"
"ostta05g04900" " unnamed product"
"ostta05g04960" " von Willebrand factor, type A"
"ostta06g00250" " Photosystem I PsaN, reaction centre subunit N"
"ostta06g00700" " Phosphoglycerate kinase, conserved site"
"ostta06g01050" " unnamed product"
"ostta06g01060" " unnamed product"
"ostta06g01220" " Myb domain, plants"
"ostta06g01230" " Ubiquitin-conjugating enzyme/RWD-like"
"ostta06g01240" " unnamed product"
"ostta06g01710" " Glycosyl transferase, family 3"
"ostta06g01770" " Protein of unknown function DUF775"
"ostta06g02850" " Thioredoxin-like fold"
"ostta06g03070" " Phytanoyl-CoA dioxygenase"
"ostta06g03130" " unnamed product"
"ostta06g03190" " Sec-independent protein translocase protein TatA/B/E"
"ostta06g03370" " Protoporphyrinogen oxidase, C-terminal domain"
"ostta06g03720" " unnamed product"
"ostta06g03740" " Ubiquitin-associated/translation elongation factor EF1B, N-terminal, eukaryote"
"ostta06g03970" " unnamed product"
"ostta06g04120" " HAD hydrolase, subfamily IA"
"ostta06g04130" " unnamed product"
"ostta06g04520" " Tetratricopeptide repeat"
"ostta07g00230" " Rhodanese-like domain"
"ostta07g00380" " Cytochrome P450, E-class, group I"
"ostta07g00480" " Short-chain dehydrogenase/reductase SDR"
"ostta07g00640" " Cytochrome b6/f complex, subunit IV"
"ostta07g00950" " Ribonuclease T2, active site"
"ostta07g00960" " Cytochrome b561/ferric reductase transmembrane"
"ostta07g01280" " unnamed product"
"ostta07g01300" " Armadillo-like helical"
"ostta07g01350" " ATPase, F1 complex, OSCP/delta subunit"
"ostta07g01570" " unnamed product"
"ostta07g01660" " SNARE associated Golgi protein"
"ostta07g01740" " Short-chain dehydrogenase/reductase SDR"
"ostta07g01860" " unnamed product"
"ostta07g01960" " unnamed product"
"ostta07g02100" " unnamed product"
"ostta07g02190" " unnamed product"
"ostta07g02290" " Tetraspanin/Peripherin"
"ostta07g02450" " Pheophorbide a oxygenase"
"ostta07g02460" " unnamed product"
"ostta07g02530" " Chlorophyll A-B binding protein, plant"
"ostta07g02590" " Magnesium-protoporphyrin IX methyltransferase"
"ostta07g03050" " Exonuclease, RNase T/DNA polymerase III"
"ostta07g03070" " Nucleotidyl transferase"
"ostta07g03180" " unnamed product"
"ostta07g03340" " 1-acyl-sn-glycerol-3-phosphate acyltransferase"
"ostta07g03360" " unnamed product"
"ostta07g03500" " Protein of unknown function DUF1517"
"ostta07g04030" " unnamed product"
"ostta07g04060" " Histidine phosphatase superfamily, clade-1"
"ostta07g04390" " Signal-recognition particle receptor FtsY"
"ostta07g04500" " UbiE/COQ5 methyltransferase"
"ostta07g04730" " Plastid lipid-associated protein/fibrillin conserved domain"
"ostta08g00180" " unnamed product"
"ostta08g00220" " Leucine carboxyl methyltransferase"
"ostta08g00380" " unnamed product"
"ostta08g00630" " GRIM-19"
"ostta08g00865" " Cold-shock protein, DNA-binding"
"ostta08g01100" " UbiA prenyltransferase family"
"ostta08g01180" " LytB protein"
"ostta08g02070" " Protein of unknown function DUF3067"
"ostta08g02100" " Rhodanese-like domain"
"ostta08g02295" " hypothetical protein"
"ostta08g02390" " unnamed product"
"ostta08g02810" " unnamed product"
