"geneID" "annotation"
"ostta01g00050" " Cation/H+ exchanger"
"ostta01g00060" " NUDIX hydrolase domain-like"
"ostta01g00100" " Exonuclease, RNase T/DNA polymerase III"
"ostta01g00190" " Histidine kinase-like ATPase, ATP-binding domain"
"ostta01g00280" " Peptidase M24, methionine aminopeptidase"
"ostta01g00290" " unnamed product"
"ostta01g00300" " unnamed product"
"ostta01g00360" " Peptidase M24, methionine aminopeptidase"
"ostta01g00480" " Translation elongation/initiation factor/Ribosomal, beta-barrel"
"ostta01g00510" " unnamed product"
"ostta01g00530" " Protein of unknown function DUF1764, eukaryotic"
"ostta01g00570" " Anticodon-binding"
"ostta01g00650" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00720" " ClpA/B, conserved site 2"
"ostta01g00780" " Monooxygenase, FAD-binding"
"ostta01g00820" " Nucleolar pre-ribosomal-associated protein 1, N-terminal"
"ostta01g00890" " Cation-transporting P-type ATPase, C-terminal"
"ostta01g00940" " Glycoside hydrolase, catalytic domain"
"ostta01g00950" " Osteopontin"
"ostta01g01220" " unnamed product"
"ostta01g01230" " Prephenate dehydratase, conserved site"
"ostta01g01290" " unnamed product"
"ostta01g01420" " Radical SAM"
"ostta01g01440" " Nucleotide-diphospho-sugar transferase"
"ostta01g01500" " Enolase, N-terminal"
"ostta01g01570" " CRAL/TRIO, N-terminal domain"
"ostta01g01590" " Ornithine/putrescine carbamoyltransferase"
"ostta01g01610" " unnamed product"
"ostta01g01700" " K Homology domain, type 1"
"ostta01g01790" " Nucleotide-binding, alpha-beta plait"
"ostta01g01810" " Nicotinamide N-methyltransferase-like"
"ostta01g01850" " Carotenoid oxygenase"
"ostta01g01890" " Forkhead-associated FHA domain"
"ostta01g02110" " unnamed product"
"ostta01g02250" " DNA-directed RNA polymerase III subunit Rpc5"
"ostta01g02560" " siRNA-mediated silencing protein NRDE-2"
"ostta01g02617" " hypothetical protein"
"ostta01g02710" " Thioredoxin-like fold"
"ostta01g02740" " ISC system FeS cluster assembly, IscU scaffold"
"ostta01g02750" " Lipase, class 3"
"ostta01g02830" " E3 UFM1-protein ligase 1"
"ostta01g02847" " Glutathione S-transferase, N-terminal"
"ostta01g02870" " Short-chain dehydrogenase/reductase SDR"
"ostta01g02930" " Helicase, C-terminal"
"ostta01g02950" " Leucine-rich repeat"
"ostta01g03000" " tRNA-guanine15 transglycosylase-like"
"ostta01g03130" " Zinc finger, RING/FYVE/PHD-type"
"ostta01g03160" " Spindle assembly checkpoint component Mad1"
"ostta01g03190" " Translation elongation factor, IF5A C-terminal"
"ostta01g03240" " unnamed product"
"ostta01g03260" " Nuclear control of ATP synthase 2"
"ostta01g03270" " JmjC domain"
"ostta01g03280" " Rudiment single hybrid motif"
"ostta01g03370" " Conserved hypothetical protein CHP01589, plant"
"ostta01g03460" " unnamed product"
"ostta01g03480" " G-patch domain"
"ostta01g03500" " Mitochondrial substrate/solute carrier"
"ostta01g03550" " unnamed product"
"ostta01g03580" " Nucleotide-binding, alpha-beta plait"
"ostta01g03780" " unnamed product"
"ostta01g03900" " Pre-mRNA-splicing factor 38"
"ostta01g03950" " Mitochodrial transcription termination factor-related"
"ostta01g03960" " unnamed product"
"ostta01g04070" " WD40/YVTN repeat-like-containing domain"
"ostta01g04100" " Protein translocase subunit SecA"
"ostta01g04110" " SWAP/Surp"
"ostta01g04120" " von Willebrand factor, type A"
"ostta01g04380" " unnamed product"
"ostta01g04420" " unnamed product"
"ostta01g04430" " von Hippel-Lindau disease tumour suppressor, beta/alpha domain"
"ostta01g04450" " Vacuolar protein sorting-associated, VPS28"
"ostta01g04520" " Protein of unknown function DUF3752"
"ostta01g04540" " unnamed product"
"ostta01g04660" " Cation-transporting P-type ATPase, C-terminal"
"ostta01g04710" " JmjC domain"
"ostta01g04760" " unnamed product"
"ostta01g04840" " Nucleotide-binding, alpha-beta plait"
"ostta01g04980" " Helicase, C-terminal"
"ostta01g05020" " Glutamine synthetase, glycine-rich site"
"ostta01g05170" " Transcription factor IIS, N-terminal"
"ostta01g05190" " Splicing factor motif"
"ostta01g05210" " Tetratricopeptide repeat"
"ostta01g05230" " G-protein beta WD-40 repeat"
"ostta01g05260" " 2-isopropylmalate synthase, bacterial-type"
"ostta01g05270" " unnamed product"
"ostta01g05280" " G-protein beta WD-40 repeat"
"ostta01g05350" " unnamed product"
"ostta01g05470" " WD40/YVTN repeat-like-containing domain"
"ostta01g05490" " Serine/threonine-protein kinase, active site"
"ostta01g05510" " EGF-like, conserved site"
"ostta01g05550" " Cytochrome P450, conserved site"
"ostta01g05610" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g05620" " Pyridoxal phosphate-dependent transferase, major region, subdomain 1"
"ostta01g05640" " Tetratricopeptide repeat"
"ostta01g05770" " Peptidase C1A, papain C-terminal"
"ostta01g05790" " unnamed product"
"ostta01g05840" " tRNA/rRNA methyltransferase, SpoU"
"ostta01g05910" " Short-chain dehydrogenase/reductase SDR"
"ostta01g05950" " NADP-binding domain"
"ostta01g06000" " Ribosomal protein L17"
"ostta01g06010" " BRCT domain"
"ostta01g06020" " unnamed product"
"ostta01g06120" " RNA polymerase, beta subunit, conserved site"
"ostta01g06130" " Tetratricopeptide repeat"
"ostta01g06200" " unnamed product"
"ostta01g06310" " Signal transduction response regulator, receiver domain"
"ostta01g06490" " unnamed product"
"ostta01g06620" " Small GTPase superfamily, ARF/SAR type"
"ostta02g00020" " Peptidase C48, SUMO/Sentrin/Ubl1"
"ostta02g00130" " Pyridine nucleotide-disulphide oxidoreductase, class I, active site"
"ostta02g00150" " Cyclin A/B/D/E"
"ostta02g00190" " unnamed product"
"ostta02g00210" " Aspartyl/Asparaginyl beta-hydroxylase"
"ostta02g00250" " Ribosomal protein L24e, conserved site"
"ostta02g00270" " THO complex, subunitTHOC2, N-terminal"
"ostta02g00380" " Clp protease proteolytic subunit /Translocation-enhancing protein TepA n/a  Clpolytic subunit /Translocation-enhancing protein TepA"
"ostta02g00400" " unnamed product"
"ostta02g00410" " WD40 repeat"
"ostta02g00430" " BOP1, N-terminal domain"
"ostta02g00440" " unnamed product"
"ostta02g00470" " Tetratricopeptide repeat-containing domain"
"ostta02g00600" " RNA polymerase III subunit RPC82-related, helix-turn-helix"
"ostta02g00670" " Surface antigen variable number"
"ostta02g00790" " unnamed product"
"ostta02g00900" " Glutamyl-tRNAGln amidotransferase A subunit n/a  Glutamyl-tRNAGln amidotransfer"
"ostta02g00960" " U3 small nucleolar RNA-associated protein 6"
"ostta02g01030" " Armadillo-type fold"
"ostta02g01040" " Modification methylase HemK"
"ostta02g01060" " unnamed product"
"ostta02g01070" " Phosphotyrosyl phosphatase activator, PTPA"
"ostta02g01130" " SNF2-related"
"ostta02g01140" " Arginine-tRNA ligase, class Ia"
"ostta02g01160" " SKI-interacting protein SKIP, SNW domain"
"ostta02g01190" " Glutamate--cysteine ligase, plant"
"ostta02g01230" " tRNA modification GTPase MnmE domain 2"
"ostta02g01240" " Glutathione S-transferase, N-terminal"
"ostta02g01260" " Transcription initiation Spt4-like"
"ostta02g01270" " Clp protease proteolytic subunit /Translocation-enhancing protein TepA"
"ostta02g01320" " Heat shock protein 70 family"
"ostta02g01360" " P-loop containing nucleoside triphosphate hydrolase"
"ostta02g01370" " Armadillo-type fold"
"ostta02g01670" " unnamed product"
"ostta02g01680" " Ubiquinone biosynthesis protein Coq4"
"ostta02g01690" " Pyridoxal phosphate-dependent transferase, major region, subdomain 2"
"ostta02g01790" " Phenylalanyl-tRNA synthetase"
"ostta02g01910" " Heat shock protein 70 family"
"ostta02g01970" " Aminoacyl-tRNA synthetase, class Ia"
"ostta02g02070" " Glycosyl transferase, family 25"
"ostta02g02080" " unnamed product"
"ostta02g02090" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta02g02280" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta02g02290" " RNA polymerase, beta subunit, conserved site"
"ostta02g02480" " Probable helicase MAGATAMA 3"
"ostta02g02490" " WD40 repeat"
"ostta02g02570" " Eukaryotic translation initiation factor 3 subunit C, N-terminal domain"
"ostta02g02710" " UbiA prenyltransferase family"
"ostta02g02770" " unnamed product"
"ostta02g02780" " Beta-lactamase-like"
"ostta02g02790" " DnaJ domain"
"ostta02g02850" " Major facilitator superfamily domain, general substrate transporter"
"ostta02g02920" " THO complex, subunit THOC1"
"ostta02g03000" " Nucleolar complex-associated"
"ostta02g03190" " GYF"
"ostta02g03220" " unnamed product"
"ostta02g03230" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta02g03290" " Putative sodium bile acid cotransporter"
"ostta02g03300" " Glycosyl transferase, family 2"
"ostta02g03355" " Ferredoxin thioredoxin reductase, alpha chain"
"ostta02g03380" " Major facilitator superfamily domain, general substrate transporter"
"ostta02g03460" " Pyridoxal phosphate-dependent transferase, major region, subdomain 2"
"ostta02g03480" " tRNA 2-selenouridine synthase"
"ostta02g03560" " Mitochondrial substrate/solute carrier"
"ostta02g03620" " Pyridine nucleotide-disulphide oxidoreductase, FAD/NADP-binding domain"
"ostta02g03630" " Armadillo-type fold"
"ostta02g03640" " Chorismate synthase"
"ostta02g03690" " unnamed product"
"ostta02g03730" " unnamed product"
"ostta02g03740" " Flavodoxin/nitric oxide synthase"
"ostta02g03840" " DNA-directed RNA polymerase III largest subunit"
"ostta02g03850" " unnamed product"
"ostta02g03955" " hypothetical protein"
"ostta02g03957" " Protein-tyrosine phosphatase, active site"
"ostta02g04030" " NOG, C-terminal"
