"geneID" "annotation"
"ostta01g00070" " Voltage-dependent potassium channel"
"ostta01g00120" " Protein of unknown function DUF4336"
"ostta01g00270" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta01g00310" " Putative S-adenosyl-L-methionine-dependent methyltransferase MidA"
"ostta01g00485" " Translation elongation/initiation factor/Ribosomal, beta-barrel"
"ostta01g00520" " ABC transporter, conserved site"
"ostta01g00550" " Rhodanese-like domain"
"ostta01g00590" " Aldo/keto reductase, conserved site"
"ostta01g00760" " C-terminal-processing peptidase S41A"
"ostta01g00790" " Fatty acid desaturase, type 1"
"ostta01g00810" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00830" "' ATPase, F0 complex, subunit B/B'', bacterial/chloroplast'"
"ostta01g00980" " Pyrophosphate-energised proton pump"
"ostta01g01020" " Plectin/S10, N-terminal"
"ostta01g01320" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g01510" " HAD-superfamily hydrolase, subfamily IIB"
"ostta01g01820" " Acyl-CoA N-acyltransferase"
"ostta01g02060" " unnamed product"
"ostta01g02070" " Sushi/SCR/CCP"
"ostta01g02080" " Bacterial PH domain"
"ostta01g02140" " Domain of unknown function DUF814"
"ostta01g02220" " Short-chain dehydrogenase/reductase SDR"
"ostta01g02300" " RAP domain"
"ostta01g02650" " Acyl-CoA dehydrogenase/oxidase C-terminal"
"ostta01g03030" " FAD linked oxidase, N-terminal"
"ostta01g03070" " Activator of Hsp90 ATPase homologue 1-like"
"ostta01g03080" " unnamed product"
"ostta01g03300" " Rieske [2Fe-2S] iron-sulphur domain"
"ostta01g03320" " Nonaspanin TM9SF"
"ostta01g03420" " Pyrophosphate-energised proton pump"
"ostta01g03450" " Rhodanese-like domain"
"ostta01g03850" " unnamed product"
"ostta01g03880" " Basic-leucine zipper domain"
"ostta01g03920" " unnamed product"
"ostta01g03990" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta01g04150" " Aminoacyl-tRNA synthetase, class I, anticodon-binding domain, subdomain 2"
"ostta01g04170" " Domain of unknown function DUF1995"
"ostta01g04240" " unnamed product"
"ostta01g04250" " 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase domain"
"ostta01g04360" " unnamed product"
"ostta01g04490" " Pyridoxal phosphate-dependent transferase, major region, subdomain 2"
"ostta01g04530" " Alanine racemase, N-terminal"
"ostta01g04810" " Protein of unknown function DUF4079"
"ostta01g04830" " Ubiquinol-cytochrome c chaperone/UPF0174"
"ostta01g04920" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g05060" " Mss4-like"
"ostta01g05100" " unnamed product"
"ostta01g05180" " Pentatricopeptide repeat"
"ostta01g05380" " Short-chain dehydrogenase/reductase SDR"
"ostta01g05500" " unnamed product"
"ostta01g05570" " Uncharacterised protein family UPF0016"
"ostta01g05580" " Protein kinase-like domain"
"ostta01g05590" " Na+/H+ exchanger, isoforms 7/8"
"ostta01g05700" " Histidinol dehydrogenase"
"ostta01g05890" " Short-chain dehydrogenase/reductase SDR"
"ostta01g06170" " Cytochrome b5-like heme/steroid binding domain"
"ostta01g06240" " Ankyrin repeat"
"ostta01g06250" " RmlC-like jelly roll fold"
"ostta01g06430" " Crotonase superfamily"
"ostta01g06470" " Cryptochrome/DNA photolyase, class 1"
"ostta01g06680" " P-loop containing nucleoside triphosphate hydrolase"
"ostta02g00030" " Glycosyl transferase, family 10"
"ostta02g00750" " Histidinol dehydrogenase"
"ostta02g01290" " Acid phosphatase/vanadium-dependent haloperoxidase-related"
"ostta02g01300" " Cytochrome b6/f complex subunit VI"
