"geneID" "annotation"
"ostta01g00010" " unnamed product"
"ostta01g00030" " unnamed product"
"ostta01g00090" " Ribonucleotide reductase R1 subunit, N-terminal"
"ostta01g00160" " Dymeclin"
"ostta01g00230" " unnamed product"
"ostta01g00350" " unnamed product"
"ostta01g00560" " Dynein light chain, type 1/2"
"ostta01g00620" " Polyphosphate kinase"
"ostta01g00630" " ATPase, AFG1-like"
"ostta01g00800" " Short-chain dehydrogenase/reductase SDR"
"ostta01g00960" " unnamed product"
"ostta01g00970" " Pseudouridine synthase/archaeosine transglycosylase"
"ostta01g00990" " THO complex subunit 7/Mft1"
"ostta01g01000" " Tetratricopeptide repeat"
"ostta01g01050" " Non-structural maintenance of chromosome element 4, C-terminal"
"ostta01g01060" " unnamed product"
"ostta01g01070" " TRAM/LAG1/CLN8 homology domain"
"ostta01g01085" " Translocon-associated protein subunit beta"
"ostta01g01170" " SAP domain"
"ostta01g01180" " 3Fe-4S ferredoxin"
"ostta01g01190" " Cytochrome c oxidase assembly protein COX16"
"ostta01g01250" " unnamed product"
"ostta01g01260" " unnamed product"
"ostta01g01270" " DNA repair protein Rad50, eukaryotes"
"ostta01g01350" " unnamed product"
"ostta01g01530" " UDP-glucose:Glycoprotein Glucosyltransferase"
"ostta01g01620" " unnamed product"
"ostta01g01880" " Chromosome segregation protein Spc25"
"ostta01g01900" " unnamed product"
"ostta01g01990" " Inosine/uridine-preferring nucleoside hydrolase"
"ostta01g02010" " Protein phosphatase 2C"
"ostta01g02050" " Endoplasmic reticulum vesicle transporter, C-terminal"
"ostta01g02100" " Nucleotide-binding, alpha-beta plait"
"ostta01g02130" " HNH endonuclease"
"ostta01g02170" " Clp protease proteolytic subunit /Translocation-enhancing protein TepA"
"ostta01g02200" " unnamed product"
"ostta01g02210" " Beta tubulin, autoregulation binding site"
"ostta01g02410" " Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain"
"ostta01g02430" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g02530" " Protein of unknown function DUF812"
"ostta01g02580" " DNA replication licensing factor Mcm6"
"ostta01g02610" " Mini-chromosome maintenance complex-binding protein"
"ostta01g02660" " unnamed product"
"ostta01g02730" " HAD-superfamily hydrolase, subfamily IIB"
"ostta01g02760" " Carbohydrate binding module family 20"
"ostta01g02780" " Armadillo-type fold"
"ostta01g02840" " Glutathione S-transferase, N-terminal"
"ostta01g02910" " Ubinuclein/Yemanuclein"
