"geneID" "annotation"
"ostta01g00050" " Cation/H+ exchanger"
"ostta01g00130" " Thioredoxin-like fold"
"ostta01g00320" " Acyl-CoA dehydrogenase/oxidase, N-terminal"
"ostta01g00660" " unnamed product"
"ostta01g00790" " Fatty acid desaturase, type 1"
"ostta01g00810" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00930" " Chloramphenicol acetyltransferase-like domain"
"ostta01g00980" " Pyrophosphate-energised proton pump"
"ostta01g01290" " unnamed product"
"ostta01g01310" " unnamed product"
"ostta01g01380" " Cation efflux protein"
"ostta01g01440" " Nucleotide-diphospho-sugar transferase"
"ostta01g01460" " Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain"
"ostta01g01490" " Ubiquitin carboxyl-terminal hydrolases family 2"
"ostta01g01980" " Nitrogen regulatory PII-like, alpha/beta"
"ostta01g02060" " unnamed product"
"ostta01g02070" " Sushi/SCR/CCP"
"ostta01g02220" " Short-chain dehydrogenase/reductase SDR"
"ostta01g02360" " DHHA2"
"ostta01g02410" " Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain"
"ostta01g02420" " unnamed product"
"ostta01g02560" " siRNA-mediated silencing protein NRDE-2"
"ostta01g02770" " Isochorismatase-like"
"ostta01g02820" " unnamed product"
"ostta01g02830" " E3 UFM1-protein ligase 1"
"ostta01g02845" " Mannosyltransferase, DXD"
"ostta01g02880" " unnamed product"
"ostta01g02990" " Ubiquitin carboxyl-terminal hydrolases family 2"
"ostta01g03040" " Fructose-bisphosphate aldolase, class-I"
"ostta01g03050" " Alpha-1,6-glucosidases, pullulanase-type, C-terminal"
"ostta01g03290" " Streptomyces cyclase/dehydrase"
"ostta01g03340" " PCI/PINT associated module"
"ostta01g03360" " Thioredoxin-like fold"
"ostta01g03400" " unnamed product"
"ostta01g03460" " unnamed product"
"ostta01g03910" " EF-Hand 1, calcium-binding site"
"ostta01g04020" " Calycin-like"
"ostta01g04100" " Protein translocase subunit SecA"
"ostta01g04150" " Aminoacyl-tRNA synthetase, class I, anticodon-binding domain, subdomain 2"
"ostta01g04190" " Quinonprotein alcohol dehydrogenase-like superfamily"
"ostta01g04270" " Serine/threonine-protein kinase, active site"
"ostta01g04280" " Glycerophosphoryl diester phosphodiesterase"
"ostta01g04320" " Tubulin/FtsZ, 2-layer sandwich domain"
"ostta01g04590" " unnamed product"
"ostta01g04640" " unnamed product"
"ostta01g04950" " 26S proteasome subunit P45"
"ostta01g05060" " Mss4-like"
"ostta01g05130" " unnamed product"
"ostta01g05160" " Transcription factor, MADS-box"
"ostta01g05290" " Glycoside hydrolase-type carbohydrate-binding, subgroup"
"ostta01g05310" " unnamed product"
"ostta01g05400" " Superoxide dismutase, Nickel-type"
"ostta01g05490" " Serine/threonine-protein kinase, active site"
"ostta01g05550" " Cytochrome P450, conserved site"
"ostta01g05590" " Na+/H+ exchanger, isoforms 7/8"
"ostta01g05710" " Domain of unknown function DUF1977, DnaJ-like"
"ostta01g06020" " unnamed product"
"ostta01g06220" " Nuclear pore protein 84/107"
"ostta01g06430" " Crotonase superfamily"
"ostta01g06500" " UAA transporter"
"ostta01g06650" " Somatomedin B domain"
"ostta02g00030" " Glycosyl transferase, family 10"
"ostta02g00035" " hypothetical protein"
"ostta02g00037" " Harbinger transposase-derived protein, plant"
"ostta02g00040" " Glycosyltransferase AER61, uncharacterised"
"ostta02g00210" " Aspartyl/Asparaginyl beta-hydroxylase"
"ostta02g00290" " Methyltransferase domain"
"ostta02g00310" " RINT-1/TIP-1"
"ostta02g00330" " unnamed product"
"ostta02g00340" " Glycerol-3-phosphate O-acyltransferase, chloroplast"
"ostta02g00370" " Signal recognition particle, SRP54 subunit, helical bundle"
"ostta02g00470" " Tetratricopeptide repeat-containing domain"
"ostta02g00500" " P-loop containing nucleoside triphosphate hydrolase"
"ostta02g00630" " Nucleotide-binding, alpha-beta plait"
"ostta02g00800" " unnamed product"
"ostta02g00900" " Glutamyl-tRNAGln amidotransferase A subunit n/a  Glutamyl-tRNAGln amidotransfer"
"ostta02g01020" " Heat shock protein 70 family"
"ostta02g01070" " Phosphotyrosyl phosphatase activator, PTPA"
"ostta02g01080" " Ribosomal protein L17"
"ostta02g01090" " Transcription initiation factor TFIID component TAF4 n/a  Transcription initiatD component TAF4"
"ostta02g01100" " Major facilitator superfamily domain, general substrate transporter"
"ostta02g01140" " Arginine-tRNA ligase, class Ia"
"ostta02g01160" " SKI-interacting protein SKIP, SNW domain"
"ostta02g01290" " Acid phosphatase/vanadium-dependent haloperoxidase-related"
"ostta02g01300" " Cytochrome b6/f complex subunit VI"
"ostta02g01360" " P-loop containing nucleoside triphosphate hydrolase"
"ostta02g01370" " Armadillo-type fold"
"ostta02g01420" " Frataxin/CyaY"
"ostta02g01550" " KOW"
"ostta02g01560" " unnamed product"
"ostta02g01580" " unnamed product"
"ostta02g01730" " Transketolase binding site"
"ostta02g01840" " Beta-ketoacyl synthase, active site"
"ostta02g01980" " Prephenate dehydrogenase"
"ostta02g01990" " Phosphopantetheine attachment site"
"ostta02g02065" " hypothetical protein"
"ostta02g02067" " DDE superfamily endonuclease, CENP-B-like"
"ostta02g02080" " unnamed product"
"ostta02g02130" " Ubiquitin-conjugating enzyme/RWD-like"
"ostta02g02180" " unnamed product"
"ostta02g02270" " Aminoacyl-tRNA synthetase, class Ic"
"ostta02g02340" " Rossmann-like alpha/beta/alpha sandwich fold"
"ostta02g02510" " Pyridine nucleotide-disulphide oxidoreductase, FAD/NADP-binding domain"
"ostta02g02520" " Ketopantoate hydroxymethyltransferase"
"ostta02g02660" " unnamed product"
"ostta02g02710" " UbiA prenyltransferase family"
"ostta02g02830" " Peptidyl-prolyl cis-trans isomerase, FKBP-type"
"ostta02g02850" " Major facilitator superfamily domain, general substrate transporter"
"ostta02g03070" " Myo-inositol-1-phosphate synthase, GAPDH-like"
"ostta02g03190" " GYF"
"ostta02g03370" " RmlC-like jelly roll fold"
"ostta02g03420" " Serine/threonine- / dual specificity protein kinase, catalytic  domain"
"ostta02g03830" " Peptidase M20, dimerisation domain"
"ostta02g03990" " Uncharacterised protein family UPF0250"
"ostta02g04190" " Ankyrin repeat-containing domain"
"ostta02g04630" " unnamed product"
"ostta02g04840" " unnamed product"
"ostta02g04860" " Cobalamin vitamin B12 biosynthesis CobW-like, C-terminal"
"ostta02g05210" " ENTH/VHS"
"ostta02g05330" " Methyltransferase FkbM"
"ostta02g05440" "' 5''-Nucleotidase/apyrase'"
"ostta02g05490" " Major facilitator superfamily domain, general substrate transporter"
"ostta02g05540" " unnamed product"
"ostta03g00080" " unnamed product"
"ostta03g00110" " unnamed product"
"ostta03g00310" " unnamed product"
"ostta03g00350" " Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase"
"ostta03g00410" " Drug/metabolite transporter"
"ostta03g00590" " Major facilitator superfamily domain, general substrate transporter"
"ostta03g00630" " unnamed product"
"ostta03g00670" " unnamed product"
"ostta03g00810" " unnamed product"
"ostta03g00870" " Glycosyl hydrolase, family 13, catalytic domain"
"ostta03g00880" " Prenyltransferase/squalene oxidase"
"ostta03g01030" " Chloramphenicol acetyltransferase-like domain"
"ostta03g01150" " 26S proteasome subunit P45"
"ostta03g01430" " unnamed product"
"ostta03g01510" " P-loop containing nucleoside triphosphate hydrolase"
"ostta03g01870" " Domain of unknown function DUF1995"
"ostta03g02020" " Protein kinase-like domain"
"ostta03g02030" " unnamed product"
"ostta03g02180" " Conserved oligomeric Golgi complex, subunit 2, N-terminal"
"ostta03g02260" " unnamed product"
"ostta03g02660" " Major facilitator superfamily domain, general substrate transporter"
"ostta03g02750" " Zinc finger, CCCH-type"
"ostta03g02810" " Prefoldin"
"ostta03g02890" " NADP-binding domain"
"ostta03g03130" " T-complex protein 1, alpha subunit"
"ostta03g03200" " Peptidase C48, SUMO/Sentrin/Ubl1"
"ostta03g03460" " Concanavalin A-like lectin/glucanases superfamily"
"ostta03g03470" " unnamed product"
"ostta03g03610" " Iron hydrogenase"
"ostta03g03710" " Shugoshin, C-terminal n/a  Shugoshin, C-terminal"
"ostta03g03720" " unnamed product"
"ostta03g04060" " RNA C5-cytosine methyltransferase"
"ostta03g04070" " Protein of unknown function DUF2214, membrane"
"ostta03g04080" " Protein of unknown function DUF1749"
"ostta03g04160" " Saposin-like type B, 1"
"ostta03g04340" " NADP-binding domain"
"ostta03g04530" " Major facilitator superfamily domain, general substrate transporter"
"ostta03g04670" " 5-methyltetrahydrofolate--homocysteine methyltransferase"
"ostta03g04900" " Cation-transporting P-type ATPase, C-terminal"
"ostta03g05140" " ABC transporter, conserved site"
"ostta03g05190" " Protein phosphatase 2C PP2C-like domain"
"ostta03g05390" " Translocation protein Sec63"
"ostta03g05500" " Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase"
"ostta03g05510" " unnamed product"
"ostta03g05540" " Armadillo-type fold"
"ostta03g05590" " CDP-alcohol phosphatidyltransferase"
"ostta03g05710" " Quinonprotein alcohol dehydrogenase-like superfamily"
"ostta03g05770" " unnamed product"
"ostta03g05940" " unnamed product"
"ostta04g00470" " Cullin repeat-like-containing domain"
"ostta04g00530" " RHD3/Sey1"
"ostta04g00610" " ABC-2 type transporter"
"ostta04g00800" " Tetratricopeptide repeat"
"ostta04g00850" " Protein phosphatase 2C PP2C-like domain"
"ostta04g01240" " unnamed product"
"ostta04g01250" " Tetratricopeptide repeat"
"ostta04g01750" " EF-Hand 1, calcium-binding site"
"ostta04g01820" " Chlorophyll a/b binding protein domain"
"ostta04g01960" " Armadillo-type fold"
"ostta04g01995" " Peptidase M20, dimerisation domain"
"ostta04g02150" " Inositol polyphosphate-related phosphatase"
"ostta04g02290" " Nucleotide-diphospho-sugar transferase"
"ostta04g02310" " JmjC domain"
"ostta04g02320" " unnamed product"
"ostta04g02330" " unnamed product"
"ostta04g02690" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta04g02740" " P-loop containing nucleoside triphosphate hydrolase"
"ostta04g02820" " P-loop containing nucleoside triphosphate hydrolase"
"ostta04g03070" " unnamed product"
"ostta04g03130" " Complex 1 LYR protein"
"ostta04g03190" " Protein translocase subunit SecA"
"ostta04g03200" " unnamed product"
"ostta04g03230" " Nuclear pore localisation protein NPL4"
"ostta04g03270" " 1-deoxy-D-xylulose 5-phosphate reductoisomerase, N-terminal"
"ostta04g03280" " unnamed product"
"ostta04g03290" " Domain of unknown function DUF4200"
"ostta04g03340" " Ankyrin repeat"
"ostta04g03430" " EF-Hand 1, calcium-binding site"
"ostta04g03440" " Concanavalin A-like lectin/glucanases superfamily"
"ostta04g03460" " Zinc finger, PHD-finger"
"ostta04g03490" " Telomerase ribonucleoprotein complex - RNA-binding domain"
"ostta04g03560" " RNA polymerase sigma-70"
"ostta04g03580" " Uncharacterised domain UPF0126"
"ostta04g03600" " unnamed product"
"ostta04g04330" " Ubiquitinyl hydrolase"
"ostta04g04410" " SET domain"
"ostta04g04420" " Fructose-bisphosphate aldolase, class-I"
"ostta04g04830" " Pyridine nucleotide-disulphide oxidoreductase, class I, active site"
"ostta04g04860" " NHL repeat"
"ostta04g04920" " unnamed product"
"ostta04g05300" " unnamed product"
"ostta04g05360" " SPX, N-terminal"
"ostta04g05500" " unnamed product"
"ostta04g05530" " unnamed product"
"ostta05g00040" " FAD-dependent pyridine nucleotide-disulphide oxidoreductase"
"ostta05g00100" " Cytochrome b5-like heme/steroid binding domain"
"ostta05g00250" " AMP-dependent synthetase/ligase"
"ostta05g00560" " Tetratricopeptide repeat"
"ostta05g00850" " Multi antimicrobial extrusion protein"
"ostta05g00930" " Fatty acid hydroxylase"
"ostta05g01430" " Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase"
"ostta05g01620" " Major facilitator superfamily domain, general substrate transporter"
"ostta05g02060" " Quinoprotein amine dehydrogenase, beta chain-like"
"ostta05g02100" " WD40 repeat"
"ostta05g02110" " Tetratricopeptide-like helical"
"ostta05g02250" " Ankyrin repeat"
"ostta05g02260" " Alpha/beta hydrolase fold-1"
"ostta05g02360" " DNA photolyase, class 2"
"ostta05g02410" " Methyltransferase type 11"
"ostta05g02418" " Sugar nucleotide epimerase YfcH,-like putative n/a  Sugar nucleotide epimerase tive n/a  Sugar nucleotide epimerase YfcH,-like putative n/a  Sugar nucleotide epimerase YfcH,-like putative"
"ostta05g02530" " GPI transamidase component PIG-T"
"ostta05g02650" " Thioredoxin-like fold"
"ostta05g02845" " hypothetical protein"
"ostta05g02850" " unnamed product"
"ostta05g03030" " unnamed product"
"ostta05g03230" " unnamed product"
"ostta05g03420" " Ribosomal RNA large subunit methyltransferase E"
"ostta05g03470" " P-loop containing nucleoside triphosphate hydrolase"
"ostta05g03570" " P-loop containing nucleoside triphosphate hydrolase"
"ostta05g03840" " Transcription Factor IIF, Rap30/Rap74, interaction"
"ostta05g04030" " Pentatricopeptide repeat"
"ostta05g04100" " Dedicator of cytokinesis"
"ostta05g04110" " Helicase, C-terminal"
"ostta05g04140" " Bicarbonate transporter, eukaryotic"
"ostta05g04270" " unnamed product"
"ostta05g04550" " Thioredoxin-like fold"
"ostta05g04570" " NET domain"
"ostta05g04750" " Thioesterase superfamily"
"ostta05g04820" " TRAM/LAG1/CLN8 homology domain"
"ostta05g04885" " Enkurin-like domain"
"ostta06g00020" " Armadillo-type fold"
"ostta06g00550" " unnamed product"
"ostta06g00780" " DEAD/DEAH-box helicase, putative"
"ostta06g00890" " SET domain"
"ostta06g00910" " unnamed product"
"ostta06g01130" " Helicase, C-terminal"
"ostta06g01270" " unnamed product"
"ostta06g01380" " P-type ATPase, phosphorylation site"
"ostta06g01500" " PH-BEACH domain"
"ostta06g01630" " Peptidase M50, putative membrane-associated zinc metallopeptidase"
"ostta06g01660" " Glucose-inhibited division protein A-related, conserved site"
"ostta06g01720" " Nucleotide-binding, alpha-beta plait"
"ostta06g01790" " Aminoacyl-tRNA synthetase, class Ic"
"ostta06g01970" " Nucleotide-diphospho-sugar transferase"
"ostta06g02100" " Domain of unknown function DUF4200"
"ostta06g02390" " Symplekin  C-terminal"
"ostta06g02430" " Exocyst complex component Sec6"
"ostta06g02500" " Protein of unknown function DUF667"
"ostta06g02650" " Transketolase-like, C-terminal"
"ostta06g02820" " Ankyrin repeat"
"ostta06g02830" " Drug/metabolite transporter"
"ostta06g02840" " Carotene isomerase"
"ostta06g03140" " Importin-beta, N-terminal domain"
"ostta06g03240" " Ubiquitin-like modifier-activating enzyme Atg7"
"ostta06g03320" " IQ motif, EF-hand binding site"
"ostta06g03360" " unnamed product"
"ostta06g03370" " Protoporphyrinogen oxidase, C-terminal domain"
"ostta06g03390" " Photosystem I Ycf4, assembly"
"ostta06g03640" " Amino acid transporter, transmembrane"
"ostta06g03660" " unnamed product"
"ostta06g04210" " C2 calcium-dependent membrane targeting"
"ostta06g04340" " Proteasome assembly chaperone 2"
"ostta07g00100" " unnamed product"
"ostta07g00120" " ABC transporter, conserved site"
"ostta07g00150" " Ham1-like protein"
"ostta07g00400" " unnamed product"
"ostta07g00430" " Thioredoxin-like fold"
"ostta07g00530" " Bromodomain, conserved site"
"ostta07g00580" " unnamed product"
"ostta07g00660" " Domain of unknown function DUF125, transmembrane"
"ostta07g01110" " Anthranilate synthase component I, PabB-like"
"ostta07g01230" " Ribosomal protein S5 domain 2-type fold, subgroup"
"ostta07g01450" " Superoxide dismutase Cu/Zn / superoxide dismutase copper chaperone"
"ostta07g01570" " unnamed product"
"ostta07g01575" " Complex 1 LYR protein"
"ostta07g01660" " SNARE associated Golgi protein"
"ostta07g01670" " UAA transporter"
"ostta07g01880" " Alanine-tRNA ligase, class IIc, anti-codon-binding domain"
"ostta07g01895" " Folate receptor-like"
"ostta07g01960" " unnamed product"
"ostta07g01980" " RAVE complex protein Rav1 C-terminal"
"ostta07g02040" " unnamed product"
"ostta07g02250" " Putative translation initiation factor, aIF-2BI/5-methylthioribose-1-phosphate"
"ostta07g02260" " Carbohydrate binding module family 20"
"ostta07g02450" " Pheophorbide a oxygenase"
"ostta07g02460" " unnamed product"
"ostta07g02680" " Spen paralogue and orthologue SPOC, C-terminal"
"ostta07g02725" " Serine/threonine-protein kinase, active site"
"ostta07g02770" " Protein kinase-like domain"
"ostta07g02890" " Thioredoxin-like fold"
"ostta07g02910" " Thioredoxin-like fold"
"ostta07g02930" " VPS10"
"ostta07g03050" " Exonuclease, RNase T/DNA polymerase III"
"ostta07g03070" " Nucleotidyl transferase"
"ostta07g03110" " unnamed product"
"ostta07g03530" " P-type ATPase, phosphorylation site"
