"geneID" "annotation"
"ostta01g00010" " unnamed product"
"ostta01g00030" " unnamed product"
"ostta01g00080" " unnamed product"
"ostta01g00090" " Ribonucleotide reductase R1 subunit, N-terminal"
"ostta01g00270" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta01g00310" " Putative S-adenosyl-L-methionine-dependent methyltransferase MidA"
"ostta01g00350" " unnamed product"
"ostta01g00390" " DNA/pantothenate metabolism flavoprotein, C-terminal"
"ostta01g00400" " 26S proteasome regulatory subunit, C-terminal"
"ostta01g00470" " Nicotinamide N-methyltransferase-like"
"ostta01g00490" " Cyanobacterial aminoacyl-tRNA synthetase, CAAD domain"
"ostta01g00610" " Lipase, GDSL"
"ostta01g00630" " ATPase, AFG1-like"
"ostta01g00680" " Protein prenyltransferase, alpha subunit"
"ostta01g00690" " Concanavalin A-like lectin/glucanases superfamily"
"ostta01g00750" " Molybdenum cofactor biosynthesis, MoeB"
"ostta01g00800" " Short-chain dehydrogenase/reductase SDR"
"ostta01g00850" " Lamin Tail Domain"
"ostta01g01000" " Tetratricopeptide repeat"
"ostta01g01050" " Non-structural maintenance of chromosome element 4, C-terminal"
"ostta01g01070" " TRAM/LAG1/CLN8 homology domain"
"ostta01g01130" " Lipase, class 3"
"ostta01g01140" " ARP2/3 complex, 20kDa subunit P20-Arc"
"ostta01g01170" " SAP domain"
"ostta01g01250" " unnamed product"
"ostta01g01350" " unnamed product"
"ostta01g01450" " Aspartate kinase, conserved site"
"ostta01g01620" " unnamed product"
"ostta01g01640" " Ovarian tumour, otubain"
"ostta01g01650" " Major facilitator superfamily domain, general substrate transporter"
"ostta01g01880" " Chromosome segregation protein Spc25"
"ostta01g01900" " unnamed product"
"ostta01g01950" " Nucleotide-binding, alpha-beta plait"
"ostta01g01960" " unnamed product"
"ostta01g01970" " unnamed product"
"ostta01g02010" " Protein phosphatase 2C"
"ostta01g02050" " Endoplasmic reticulum vesicle transporter, C-terminal"
"ostta01g02130" " HNH endonuclease"
"ostta01g02210" " Beta tubulin, autoregulation binding site"
"ostta01g02230" " unnamed product"
"ostta01g02240" " 26S proteasome non-ATPase regulatory subunit 5"
"ostta01g02270" " Actin-related protein 3 Arp3"
"ostta01g02370" " Vacuolar protein sorting-associated protein 26"
"ostta01g02430" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g02470" " Mitochondrial substrate/solute carrier"
"ostta01g02530" " Protein of unknown function DUF812"
