"geneID" "annotation"
"ostta01g00060" " NUDIX hydrolase domain-like"
"ostta01g00110" " unnamed product"
"ostta01g00150" " Phytanoyl-CoA dioxygenase"
"ostta01g00180" " unnamed product"
"ostta01g00190" " Histidine kinase-like ATPase, ATP-binding domain"
"ostta01g00200" " UBA-like"
"ostta01g00220" " unnamed product"
"ostta01g00240" " FAD linked oxidase, N-terminal"
"ostta01g00250" " Inositol polyphosphate kinase"
"ostta01g00260" " Tetratricopeptide repeat"
"ostta01g00290" " unnamed product"
"ostta01g00300" " unnamed product"
"ostta01g00360" " Peptidase M24, methionine aminopeptidase"
"ostta01g00370" " Mitochondrial pyruvate carrier"
"ostta01g00410" " Signal recognition particle, SRP19 subunit"
"ostta01g00460" " WD40/YVTN repeat-like-containing domain"
"ostta01g00510" " unnamed product"
"ostta01g00530" " Protein of unknown function DUF1764, eukaryotic"
"ostta01g00560" " Dynein light chain, type 1/2"
"ostta01g00570" " Anticodon-binding"
"ostta01g00640" " unnamed product"
"ostta01g00650" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g00720" " ClpA/B, conserved site 2"
"ostta01g00730" " HD/PDEase domain"
"ostta01g00780" " Monooxygenase, FAD-binding"
"ostta01g00820" " Nucleolar pre-ribosomal-associated protein 1, N-terminal"
"ostta01g00860" " Nucleic acid-binding, OB-fold"
"ostta01g00870" " hypothetical protein n/a  unnamed product"
"ostta01g00880" " Ankyrin repeat"
"ostta01g00910" " Ribosomal biogenesis, methyltransferase, EMG1/NEP1"
"ostta01g00920" " DNA-directed RNA polymerase, RBP11-like dimerisation domain"
"ostta01g00940" " Glycoside hydrolase, catalytic domain"
"ostta01g00950" " Osteopontin"
"ostta01g01200" " unnamed product"
"ostta01g01220" " unnamed product"
"ostta01g01270" " DNA repair protein Rad50, eukaryotes"
"ostta01g01295" " hypothetical protein"
"ostta01g01330" " unnamed product"
"ostta01g01370" " Leucine-rich repeat"
"ostta01g01410" " Endonuclease/exonuclease/phosphatase"
"ostta01g01420" " Radical SAM"
"ostta01g01430" " Rhodanese-like domain"
"ostta01g01470" " Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal"
"ostta01g01540" " Single-stranded nucleic acid binding R3H"
"ostta01g01580" " Prefoldin"
"ostta01g01660" " unnamed product"
"ostta01g01670" " Ribonucleoprotein LSM domain, eukaryotic/archaea-type"
"ostta01g01680" " Rab-GTPase-TBC domain"
"ostta01g01700" " K Homology domain, type 1"
"ostta01g01740" " Uracil-5-methyltransferase"
"ostta01g01790" " Nucleotide-binding, alpha-beta plait"
"ostta01g01810" " Nicotinamide N-methyltransferase-like"
"ostta01g01855" " Tocopherol cyclase"
"ostta01g01860" " 23S rRNA uracil1939-C5-methyltransferase RlmD"
"ostta01g01910" " unnamed product"
"ostta01g01940" " SET domain"
"ostta01g01990" " Inosine/uridine-preferring nucleoside hydrolase"
"ostta01g02000" " Ketopantoate reductase ApbA/PanE, N-terminal"
"ostta01g02100" " Nucleotide-binding, alpha-beta plait"
"ostta01g02110" " unnamed product"
"ostta01g02160" " WD40 repeat"
"ostta01g02170" " Clp protease proteolytic subunit /Translocation-enhancing protein TepA"
"ostta01g02180" " Leucine-rich repeat, typical subtype"
"ostta01g02250" " DNA-directed RNA polymerase III subunit Rpc5"
"ostta01g02260" " unnamed product"
"ostta01g02280" " unnamed product"
"ostta01g02320" " Ribosomal protein L35"
"ostta01g02330" " Uncharacterised domain UPF0066, YaeB-like domain"
"ostta01g02450" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g02480" " Aspartate-semialdehyde dehydrogenase"
"ostta01g02500" " Ribonuclease III domain"
"ostta01g02540" " unnamed product"
"ostta01g02570" " Protein of unknown function DUF2419"
"ostta01g02617" " hypothetical protein"
"ostta01g02620" " Protein of unknown function DUF842, eukaryotic"
"ostta01g02720" " BSD"
"ostta01g02800" " unnamed product"
"ostta01g02847" " Glutathione S-transferase, N-terminal"
"ostta01g02850" " Serine/threonine-protein kinase, active site"
"ostta01g02895" " tRNA/rRNA methyltransferase, SpoU"
"ostta01g02920" " Bromodomain"
"ostta01g02950" " Leucine-rich repeat"
"ostta01g02970" " Histone-fold"
"ostta01g02980" " Uncharacterised protein family UPF0434/Trm112"
"ostta01g03000" " tRNA-guanine15 transglycosylase-like"
"ostta01g03010" " unnamed product"
"ostta01g03020" " Crotonase superfamily"
"ostta01g03060" " Dienelactone hydrolase"
"ostta01g03100" " Helicase, C-terminal"
"ostta01g03110" " Proteasome B-type subunit"
"ostta01g03130" " Zinc finger, RING/FYVE/PHD-type"
"ostta01g03150" " S15/NS1, RNA-binding"
"ostta01g03160" " Spindle assembly checkpoint component Mad1"
"ostta01g03220" " Domain of unknown function DUF59"
"ostta01g03230" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta01g03240" " unnamed product"
"ostta01g03370" " Conserved hypothetical protein CHP01589, plant"
"ostta01g03380" " RNA polymerase III Rpc4"
"ostta01g03480" " G-patch domain"
"ostta01g03495" " Mitochondrial substrate/solute carrier"
"ostta01g03500" " Mitochondrial substrate/solute carrier"
"ostta01g03550" " unnamed product"
"ostta01g03690" " unnamed product"
"ostta01g03700" " unnamed product"
"ostta01g03760" " ATPase, AAA-type, CDC48"
"ostta01g03790" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g03830" " Sjoegren syndrome/scleroderma autoantigen 1"
"ostta01g03850" " unnamed product"
"ostta01g03860" " Mitochondrial substrate/solute carrier"
"ostta01g03870" " Domain of unknown function SprT-like"
"ostta01g03930" " Rad21/Rec8-like protein, N-terminal"
"ostta01g03950" " Mitochodrial transcription termination factor-related"
"ostta01g03960" " unnamed product"
"ostta01g04000" " Peptidase S54, rhomboid domain"
"ostta01g04010" " Uracil-5-methyltransferase"
"ostta01g04030" " Ribosomal protein L2, bacterial/organellar-type"
"ostta01g04040" " unnamed product"
"ostta01g04050" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta01g04060" " PHF5-like"
"ostta01g04070" " WD40/YVTN repeat-like-containing domain"
"ostta01g04090" " Conserved hypothetical protein CHP02450, tryptophan-rich"
"ostta01g04110" " SWAP/Surp"
"ostta01g04120" " von Willebrand factor, type A"
"ostta01g04130" " Homeodomain-like"
"ostta01g04260" " unnamed product"
"ostta01g04370" " Inositol-pentakisphosphate 2-kinase"
"ostta01g04380" " unnamed product"
"ostta01g04430" " von Hippel-Lindau disease tumour suppressor, beta/alpha domain"
"ostta01g04470" " Concanavalin A-like lectin/glucanase, subgroup"
"ostta01g04540" " unnamed product"
"ostta01g04570" " Oxoglutarate/iron-dependent dioxygenase"
"ostta01g04620" " Flavoprotein pyridine nucleotide cytochrome reductase"
"ostta01g04690" " unnamed product"
"ostta01g04710" " JmjC domain"
"ostta01g04760" " unnamed product"
"ostta01g04770" " Zinc finger, LSD1-type"
"ostta01g04840" " Nucleotide-binding, alpha-beta plait"
"ostta01g04860" " Monothiol glutaredoxin-related"
"ostta01g04910" " Alpha-mannosyltransferase"
"ostta01g04930" " CHCH"
"ostta01g04960" " unnamed product"
"ostta01g04980" " Helicase, C-terminal"
"ostta01g04990" " unnamed product"
"ostta01g05000" " Peptidase S1C"
"ostta01g05005" " Proteasome A-type subunit"
"ostta01g05020" " Glutamine synthetase, glycine-rich site"
"ostta01g05110" " Pentatricopeptide repeat"
"ostta01g05120" " Nucleoporin Nup54, alpha-helical domain"
"ostta01g05155" " Pyruvate/Phosphoenolpyruvate kinase-like domain"
"ostta01g05170" " Transcription factor IIS, N-terminal"
"ostta01g05230" " G-protein beta WD-40 repeat"
"ostta01g05320" " Proteasome B-type subunit"
"ostta01g05360" " Ribosomal protein S6"
"ostta01g05390" " BolA protein"
"ostta01g05430" " Arf GTPase activating protein"
"ostta01g05460" " Transcription factor TFIIE, alpha subunit"
"ostta01g05470" " WD40/YVTN repeat-like-containing domain"
"ostta01g05480" " Tim10/DDP family zinc finger"
"ostta01g05520" " Thioredoxin-like fold"
"ostta01g05540" " NADH:ubiquinone oxidoreductase, B18 subunit"
"ostta01g05620" " Pyridoxal phosphate-dependent transferase, major region, subdomain 1"
"ostta01g05640" " Tetratricopeptide repeat"
"ostta01g05660" " Nucleotide-binding, alpha-beta plait"
"ostta01g05670" " Transcription termination and cleavage factor C-terminal domain"
"ostta01g05720" " unnamed product"
"ostta01g05730" " Complex 1 LYR protein"
"ostta01g05830" " Carbonic anhydrase"
"ostta01g05840" " tRNA/rRNA methyltransferase, SpoU"
"ostta01g05850" " HAD hydrolase, subfamily IA"
"ostta01g05880" " Snf7"
"ostta01g05890" " Short-chain dehydrogenase/reductase SDR"
"ostta01g05900" " G-protein beta WD-40 repeat"
"ostta01g05970" " Anamorsin"
"ostta01g05980" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta01g06000" " Ribosomal protein L17"
"ostta01g06010" " BRCT domain"
"ostta01g06060" " unnamed product"
"ostta01g06110" " Domain of unknown function DUF221"
"ostta01g06120" " RNA polymerase, beta subunit, conserved site"
"ostta01g06130" " Tetratricopeptide repeat"
"ostta01g06140" " AMP-dependent synthetase/ligase"
"ostta01g06150" " Cyclin A/B/D/E"
"ostta01g06200" " unnamed product"
"ostta01g06210" " Nicotinamide N-methyltransferase-like"
"ostta01g06290" " Riboflavin kinase domain, bacterial/eukaryotic"
"ostta01g06340" " Histone H4"
"ostta01g06350" " Histone H4"
"ostta01g06360" " unnamed product"
"ostta01g06370" " unnamed product"
"ostta01g06380" " Regulator of chromosome condensation, RCC1"
"ostta01g06390" " Methylglyoxal synthase-like domain"
"ostta01g06420" " WD40 repeat"
"ostta01g06470" " Cryptochrome/DNA photolyase, class 1"
"ostta01g06520" " Thioesterase"
"ostta01g06530" " Domain of unknown function DUF2040"
"ostta01g06660" " Acyl-ACP thioesterase"
"ostta01g06670" " Insulin-induced protein family"
"ostta02g00080" " unnamed product"
"ostta02g00277" " Harbinger transposase-derived nuclease"
"ostta02g00300" " DNA-directed RNA polymerase, subunit K/Rpb6"
"ostta02g00320" " Transcriptional coactivator/pterin dehydratase"
"ostta02g00660" " unnamed product"
"ostta02g00740" " unnamed product"
"ostta02g00840" " Glucokinase n/a  Glucokinase"
"ostta02g00880" " DNA-directed RNA polymerase, 30-40kDa subunit, conserved site"
"ostta02g00890" " Ribosomal protein L36e"
