"geneID" "annotation"
"ostta01g00120" " Protein of unknown function DUF4336"
"ostta01g00280" " Peptidase M24, methionine aminopeptidase"
"ostta01g00485" " Translation elongation/initiation factor/Ribosomal, beta-barrel"
"ostta01g00520" " ABC transporter, conserved site"
"ostta01g00540" " Drug/metabolite transporter"
"ostta01g00550" " Rhodanese-like domain"
"ostta01g00580" " Multi antimicrobial extrusion protein"
"ostta01g00590" " Aldo/keto reductase, conserved site"
"ostta01g00760" " C-terminal-processing peptidase S41A"
"ostta01g00770" " Transmembrane protein 186"
"ostta01g00890" " Cation-transporting P-type ATPase, C-terminal"
"ostta01g01020" " Plectin/S10, N-terminal"
"ostta01g01230" " Prephenate dehydratase, conserved site"
"ostta01g01340" " IQ motif, EF-hand binding site"
"ostta01g01390" " IQ motif, EF-hand binding site"
"ostta01g01500" " Enolase, N-terminal"
"ostta01g01510" " HAD-superfamily hydrolase, subfamily IIB"
"ostta01g01570" " CRAL/TRIO, N-terminal domain"
"ostta01g01590" " Ornithine/putrescine carbamoyltransferase"
"ostta01g01600" " MIF4-like, type 1/2/3"
"ostta01g02040" " unnamed product"
"ostta01g02080" " Bacterial PH domain"
"ostta01g02140" " Domain of unknown function DUF814"
"ostta01g02150" " unnamed product"
"ostta01g02290" " Zinc finger, PHD-finger"
"ostta01g02310" " unnamed product"
"ostta01g02400" " Ribosomal protein S8"
"ostta01g02460" " Protein phosphatase 2C PP2C-like domain"
"ostta01g02710" " Thioredoxin-like fold"
"ostta01g02810" " CS domain"
"ostta01g02960" " Peptidyl-tRNA hydrolase"
"ostta01g03070" " Activator of Hsp90 ATPase homologue 1-like"
"ostta01g03080" " unnamed product"
"ostta01g03090" " Alpha-ketoglutarate-dependent dioxygenase AlkB-like"
"ostta01g03190" " Translation elongation factor, IF5A C-terminal"
"ostta01g03350" " Zinc finger, RING-CH-type"
"ostta01g03450" " Rhodanese-like domain"
"ostta01g03720" " DNA cytosine-5-methyltransferase 1, replication foci domain"
"ostta01g03730" " FIST domain, N-terminal"
