"geneID" "annotation"
"ostta01g00040" " Malic enzyme, NAD-binding"
"ostta01g00340" " unnamed product"
"ostta01g00740" " Zinc/iron permease"
"ostta01g00840" " unnamed product"
"ostta01g01030" " Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III"
"ostta01g01040" " DNA methylase, N-6 adenine-specific, eukaryotic"
"ostta01g01060" " unnamed product"
"ostta01g01100" " unnamed product"
"ostta01g01120" " Protein of unknown function DUF1365"
"ostta01g01480" " Zinc finger, RING/FYVE/PHD-type"
"ostta01g01550" " K Homology domain, type 1"
"ostta01g01610" " unnamed product"
"ostta01g01710" " unnamed product"
"ostta01g01750" " tRNA-dihydrouridine synthase, conserved site"
"ostta01g01760" " unnamed product"
"ostta01g01830" " Clathrin, heavy chain/VPS, 7-fold repeat"
"ostta01g01890" " Forkhead-associated FHA domain"
"ostta01g01920" " unnamed product"
"ostta01g02200" " unnamed product"
"ostta01g02350" " Clathrin, heavy chain/VPS, 7-fold repeat"
"ostta01g02510" " CRAL/TRIO, N-terminal domain"
"ostta01g02520" " Beta-lactamase-like"
"ostta01g02730" " HAD-superfamily hydrolase, subfamily IIB"
"ostta01g02740" " ISC system FeS cluster assembly, IscU scaffold"
"ostta01g02750" " Lipase, class 3"
"ostta01g02790" " Sulfotransferase"
"ostta01g02825" " Nucleotide-binding, alpha-beta plait"
"ostta01g02890" " HAD-superfamily hydrolase, subfamily IIID"
"ostta01g03120" " Nicotinate phosphoribosyltransferase-like"
"ostta01g03210" " Nuclear transport factor 2, Eukaryote"
"ostta01g03260" " Nuclear control of ATP synthase 2"
"ostta01g03270" " JmjC domain"
"ostta01g03440" " NUDIX hydrolase domain-like"
"ostta01g03540" " Sterile alpha motif, type 1"
"ostta01g03620" " Class II glutamine amidotransferase domain"
"ostta01g03630" " Nucleoporin FG repeat"
"ostta01g03670" " unnamed product"
"ostta01g03740" " unnamed product"
"ostta01g03750" " HSP20-like chaperone"
"ostta01g03840" " Phospholipase D/Transphosphatidylase"
"ostta01g04210" " GOLD"
"ostta01g04300" " Two pore domain potassium channel domain"
"ostta01g04420" " unnamed product"
"ostta01g04440" " Clathrin light chain"
"ostta01g04450" " Vacuolar protein sorting-associated, VPS28"
"ostta01g04460" " Translation elongation/initiation factor/Ribosomal, beta-barrel"
"ostta01g04520" " Protein of unknown function DUF3752"
"ostta01g04550" " ATPase-like, ParA/MinD"
"ostta01g04585" " hypothetical protein"
"ostta01g04600" " ABC transporter, conserved site"
"ostta01g04720" " Exostosin-like"
"ostta01g04780" " unnamed product"
"ostta01g04900" " Peptidase C1A, papain C-terminal"
"ostta01g04920" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g04970" " SANT/Myb domain"
"ostta01g05100" " unnamed product"
"ostta01g05250" " Peroxisomal membrane protein 14"
"ostta01g05280" " G-protein beta WD-40 repeat"
"ostta01g05300" " Phytanoyl-CoA dioxygenase"
"ostta01g05340" " P-loop containing nucleoside triphosphate hydrolase"
"ostta01g05410" " Pentatricopeptide repeat"
"ostta01g05510" " EGF-like, conserved site"
"ostta01g05600" " Exportin/Importin, Cse1-like"
"ostta01g05650" " Autophagy-related protein Atg8 family"
"ostta01g05790" " unnamed product"
"ostta01g05870" " N-terminal acetyltransferase A, auxiliary subunit"
"ostta01g05910" " Short-chain dehydrogenase/reductase SDR"
"ostta01g05930" " Short-chain dehydrogenase/reductase SDR"
"ostta01g05950" " NADP-binding domain"
"ostta01g05990" " Phytoene desaturase CrtI family"
"ostta01g06070" " C2 calcium/lipid-binding domain, CaLB"
"ostta01g06230" " unnamed product"
"ostta01g06240" " Ankyrin repeat"
"ostta01g06510" " Uncharacterised protein family UPF0246"
"ostta01g06680" " P-loop containing nucleoside triphosphate hydrolase"
"ostta02g00050" " Ribonuclease H-like domain"
"ostta02g00160" " Polyketide synthase, KR"
"ostta02g00180" " Polyketide synthase, KR"
"ostta02g00240" " Ribonuclease H-like domain"
"ostta02g00275" " DDE superfamily endonuclease, CENP-B-like"
"ostta02g00420" " Kinetochore protein Ndc80 n/a  Kinetochore protein Ndc80"
"ostta02g00610" " ATPase, F1 complex beta subunit/V1 complex, C-terminal"
"ostta02g00950" " Aspartyl/Glutamyl-tRNAGln amidotransferase, subunit B/E, catalytic"
"ostta02g01190" " Glutamate--cysteine ligase, plant"
"ostta02g01820" " Forkhead-associated FHA domain"
"ostta02g02670" " Uncharacterised protein family, ATP binding n/a  Uncharacterised protein family"
"ostta02g03060" " Protein of unknown function UPF0301"
"ostta02g03170" " 2-nitropropane dioxygenase, NPD"
"ostta02g03220" " unnamed product"
"ostta02g03250" " Ubiquitin carboxyl-terminal hydrolases family 2"
"ostta02g03300" " Glycosyl transferase, family 2"
"ostta02g03310" " Tetratricopeptide repeat"
"ostta02g03350" " von Willebrand factor, type A"
"ostta02g03380" " Major facilitator superfamily domain, general substrate transporter"
"ostta02g03400" " Ferritin-like superfamily"
"ostta02g03680" " unnamed product"
"ostta02g03740" " Flavodoxin/nitric oxide synthase"
"ostta02g03955" " hypothetical protein"
"ostta02g03957" " Protein-tyrosine phosphatase, active site"
"ostta02g03970" " unnamed product"
"ostta02g04020" " PCI/PINT associated module"
"ostta02g04180" " UBA-like"
"ostta02g04260" " ENTH/VHS"
"ostta02g04300" " RWP-RK domain"
"ostta02g04360" " Pyruvate, phosphate dikinase"
"ostta02g04470" " AMP deaminase"
"ostta02g04520" " unnamed product"
"ostta02g04540" " Phosphomannose isomerase, type I, conserved site"
"ostta02g04610" " RelA/SpoT"
"ostta02g04720" " unnamed product"
"ostta02g04815" " hypothetical protein n/a  hypothetical protein"
"ostta02g04820" " Chloramphenicol acetyltransferase-like domain"
"ostta02g04830" " Protein kinase-like domain"
"ostta02g04890" " Chloride channel, voltage gated"
"ostta02g05160" " Fumarylacetoacetase, C-terminal"
"ostta02g05410" " unnamed product"
"ostta02g05550" " Nucleotide sugar dehydrogenase"
"ostta03g00020" " Paraquat-inducible protein A n/a  Paraquat-inducible protein A"
"ostta03g00170" " P-loop containing nucleoside triphosphate hydrolase"
"ostta03g00230" " unnamed product"
"ostta03g00430" " Thioredoxin-like fold"
"ostta03g00480" " Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site"
"ostta03g00640" " Peptidase S1C"
"ostta03g00650" " Aromatic-ring hydroxylase-like"
"ostta03g00940" " WD40 repeat"
"ostta03g01060" " unnamed product"
"ostta03g01110" " Rab-GTPase-TBC domain"
"ostta03g01120" " unnamed product"
"ostta03g01210" " TPMT family"
"ostta03g01220" " FAS1 domain"
"ostta03g01270" " Rhodanese-like domain"
"ostta03g01300" " Tetratricopeptide repeat"
"ostta03g01360" " unnamed product"
"ostta03g01390" " unnamed product"
